number,company,title,market,job_url,cv_file,tailoring_track
1,Deloitte,"Assistant Manager, Financial Due Diligence - M&A",United Kingdom,https://apply.deloitte.co.uk/UKCareers/JobDetail/Assistant-Manager-Financial-Due-Diligence-M-A/24249,01_deloitte_Assistant_Manager_Financial_Due_Diligence_M_A.pdf,fdd
2,Deloitte,"Manager, Financial Due Diligence - Financial Services, M&A",United Kingdom,https://apply.deloitte.co.uk/UKCareers/JobDetail/Manager-Financial-Due-Diligence-Financial-Services-M-A/24246,02_deloitte_Manager_Financial_Due_Diligence_Financial_Services_M_A.pdf,fdd
3,Deloitte,"Manager, Financial Due Diligence - Private Equity, Consumer and Business Services, M&A",United Kingdom,https://apply.deloitte.co.uk/UKCareers/JobDetail/Manager-Financial-Due-Diligence-Private-Equity-Consumer-and-Business-Services-M-A/23818,03_deloitte_Manager_Financial_Due_Diligence_Private_Equity_Consumer_and_Business_S.pdf,fdd
4,Deloitte,"Manager, Financial Due Diligence - TMT, M&A",United Kingdom,https://apply.deloitte.co.uk/UKCareers/JobDetail/Manager-Financial-Due-Diligence-TMT-M-A/24254,04_deloitte_Manager_Financial_Due_Diligence_TMT_M_A.pdf,fdd
5,Deloitte,"Manager, Financial Due Diligence, M&A",United Kingdom,https://apply.deloitte.co.uk/UKCareers/JobDetail/Manager-Financial-Due-Diligence-M-A/23811,05_deloitte_Manager_Financial_Due_Diligence_M_A.pdf,fdd
6,EY,"(Senior) Manager:in Valuation, Modelling & M&A",Austria,https://careers.ey.com/ey/job/Vienna-%28Senior%29-Managerin-Valuation%2C-Modelling-&-M&A-1220/1414346333/,06_ey_Senior_Manager_in_Valuation_Modelling_M_A.pdf,valuation
7,EY,Banking & Capital Markets Consultant (w/m/d),Austria,https://careers.ey.com/ey/job/Vienna-Banking-&-Capital-Markets-Consultant-%28wmd%29-1220/1389215333/,07_ey_Banking_Capital_Markets_Consultant_w_m_d.pdf,banking
8,EY,"(Senior) Consultant - EY Parthenon, Financial Services - M&A Advisory",Switzerland,https://careers.ey.com/ey/job/Zurich-%28Senior%29-Consultant-EY-Parthenon%2C-Financial-Services-M&A-Advisory-8005/1415629233/,08_ey_Senior_Consultant_EY_Parthenon_Financial_Services_M_A_Advisory.pdf,mna
9,EY,EY-Parthenon Consultant Transactions & Corporate Finance - Strategy and Transactions (w/m/d),Germany,https://careers.ey.com/ey/job/D%C3%BCsseldorf-EY-Parthenon-Consultant-Transactions-&-Corporate-Finance-Strategy-and-Transactions-%28wmd%29-40219/1218482301/,09_ey_EY_Parthenon_Consultant_Transactions_Corporate_Finance_Strategy_and_Tr.pdf,mna
10,EY,EY-Parthenon Senior Consultant Transactions & Corporate Finance - Strategy and Transactions (w/m/d),Germany,https://careers.ey.com/ey/job/Berlin-EY-Parthenon-Senior-Consultant-Transactions-&-Corporate-Finance-Strategy-and-Transactions-%28wmd%29-BE-10117/1218540601/,10_ey_EY_Parthenon_Senior_Consultant_Transactions_Corporate_Finance_Strategy.pdf,mna
11,KPMG,Consultant - Deal Advisory - Valuation & Financial Modelling,Switzerland,https://jobs-ch.kpmg.com/job-vacancies/consultant-deal-advisory-valuation-financial-modelling/f30545db-f29a-45d6-a909-242f3ffdaa3e,11_kpmg_Consultant_Deal_Advisory_Valuation_Financial_Modelling.pdf,valuation
12,KPMG,(Assistant) Manager:in Restructuring und Transaction Services,Austria,https://bewerbung.kpmg.at/job/Linz-(Assistant)-Managerin-Restructuring-und-Transaction-Services-4020/928-de_DE/,12_kpmg_Assistant_Manager_in_Restructuring_und_Transaction_Services.pdf,fdd
13,KPMG,Senior Consultant Valuation / Unternehmensbewertung (w/m/d),Germany,https://jobs.kpmg.de/job-invite/121/?locale=de_DE,13_kpmg_Senior_Consultant_Valuation_Unternehmensbewertung_w_m_d.pdf,valuation
14,KPMG,(Senior) Manager Valuation / Unternehmensbewertung (w/m/d),Germany,https://jobs.kpmg.de/job-invite/118/?locale=de_DE,14_kpmg_Senior_Manager_Valuation_Unternehmensbewertung_w_m_d.pdf,valuation
15,KPMG,Manager - Transaction Services,United Kingdom,https://www.kpmgcareers.co.uk/Vacancies/ManagerTransactionServices/108750,15_kpmg_Manager_Transaction_Services.pdf,fdd
16,PwC,Transaction Services – Manager (Financial Due Diligence),United Kingdom,https://jobs.pwc.co.uk/uk/en/job/687166WD,16_pwc_Transaction_Services_Manager_Financial_Due_Diligence.pdf,fdd
17,PwC,"Manager Valuation, Modeling & Analytics (w/m/d)",Germany,https://jobs.pwc.de/de/de/job/1203,17_pwc_Manager_Valuation_Modeling_Analytics_w_m_d.pdf,valuation
18,PwC,"Senior Consultant Valuation, Modeling & Analytics (w/m/d)",Germany,https://jobs.pwc.de/de/de/job/2494,18_pwc_Senior_Consultant_Valuation_Modeling_Analytics_w_m_d.pdf,valuation
19,PwC,Senior Consultant Real Estate Valuation (w/m/d),Germany,https://jobs.pwc.de/de/de/job/921,19_pwc_Senior_Consultant_Real_Estate_Valuation_w_m_d.pdf,valuation
20,PwC,"Transaction Services, Deals Insights and Analytics - Senior Associate",United Kingdom,https://jobs.pwc.co.uk/uk/en/job/715317WD,20_pwc_Transaction_Services_Deals_Insights_and_Analytics_Senior_Associate.pdf,fdd
