canonical_company_id,company_category
cez-group,Corporate
eph-group,Holding & Conglomerate
ppf-group,Holding & Conglomerate
kkcg,Holding & Conglomerate
jt-finance-group,Banking & Financial Services
erste-group,Banking & Financial Services
allianz-group,Banking & Financial Services
munich-re,Banking & Financial Services
siemens,Corporate
deutsche-boerse,Banking & Financial Services
dws,Private Equity & Asset Management
omv,Corporate
rbi,Banking & Financial Services
ubs,Banking & Financial Services
swiss-re,Banking & Financial Services
partners-group,Private Equity & Asset Management
six-group,Banking & Financial Services
vontobel,Banking & Financial Services
nordea,Banking & Financial Services
seb,Banking & Financial Services
danske-bank,Banking & Financial Services
orsted,Corporate
equinor,Corporate
nbim,Private Equity & Asset Management
ebrd,Banking & Financial Services
blackrock,Private Equity & Asset Management
schroders,Private Equity & Asset Management
deloitte,Consulting
pwc,Consulting
ey,Consulting
kpmg,Consulting
mckinsey,Consulting
bcg,Consulting
bain,Consulting
roland-berger,Consulting
oliver-wyman,Consulting
kearney,Consulting
alvarez-marsal,Consulting
alixpartners,Consulting
fti-consulting,Consulting
arthur-d-little,Consulting
lek-consulting,Consulting
horvath,Consulting
zeb-consulting,Consulting
capco,Consulting
bearingpoint,Consulting
accenture,Consulting
simon-kucher,Consulting
