canonical_company_id,company_category
amundi,Public Markets & Asset Management
baillie-gifford,Public Markets & Asset Management
blackrock,Public Markets & Asset Management
dws,Public Markets & Asset Management
fidelity-international,Public Markets & Asset Management
invesco,Public Markets & Asset Management
janus-henderson,Public Markets & Asset Management
mg,Public Markets & Asset Management
nbim,Public Markets & Asset Management
schroders,Public Markets & Asset Management
vanguard,Public Markets & Asset Management
abrdn,Public Markets & Asset Management
man-group,Specialist & Boutique Funds
barclays,Investment Banking
deutsche-bank,Investment Banking
hsbc,Investment Banking
macquarie,Investment Banking
ubs,Investment Banking
