canonical_company_id,rating,contact_strength,notes
cez-group,B,,
eph-group,Exclude,,
ppf-group,B,,
kkcg,B,,
jt-finance-group,B,,
erste-group,A,,
allianz-group,A,,
munich-re,A,,
siemens,A,,
deutsche-boerse,B,,
dws,A,,
omv,A,,
rbi,B,,
ubs,A,,
swiss-re,B,,
partners-group,A,,
six-group,B,,
vontobel,A,,
nordea,A,,
seb,A,,
danske-bank,A,,
orsted,A,,
equinor,A,,
nbim,A,,
ebrd,A,,
blackrock,A,,
schroders,A,,
deloitte,A,,
pwc,A,,
ey,A,,
kpmg,A,,
mckinsey,B,,
bcg,B,,
bain,A,,
roland-berger,A,,
oliver-wyman,A,,
kearney,B,,
alvarez-marsal,A,,
alixpartners,A,,
fti-consulting,A,,
arthur-d-little,B,,
lek-consulting,A,,
horvath,A,,
zeb-consulting,A,,
capco,A,,
bearingpoint,B,,
accenture,B,,
simon-kucher,C,,
grant-thornton,A,,
bdo,A,,
forvis-mazars,A,,
rsm,A,,
protiviti,A,,
sia-partners,C,,
pa-consulting,C,,
capgemini-invent,B,,
ibm-consulting,A,,
cgi,B,,
infosys-consulting,B,,
tcs-consulting,C,,
cognizant,C,,
occ-strategy,A,,
implement-consulting,A,,
valcon,C,,
baringa,B,,
newton-europe,B,,
porsche-consulting,B,,
d-fine,B,,
zuehlke,B,,
synpulse,B,,
nera,B,,
compass-lexecon,B,,
charles-river-associates,B,,
rwe,A,,
eon,A,,
enbw,A,,
uniper,A,,
vattenfall,A,,
statkraft,B,,
fortum,B,,
neste,B,,
mol,B,,
shell,A,,
bp,A,,
totalenergies,Exclude,,
trafigura,B,,
vitol,B,,
glencore,A,,
volkswagen,A,,
bmw,A,,
mercedes-benz,A,,
porsche,A,,
bosch,A,,
basf,B,,
bayer,B,,
henkel,A,,
continental,A,,
infineon,B,,
airbus,A,,
abb,A,,
sap,A,,
dhl,A,,
nestle,A,,
novartis,B,,
roche,B,,
sandoz,B,,
holcim,A,,
novo-nordisk,B,,
maersk,A,,
carlsberg,A,,
volvo-group,A,,
ericsson,A,,
nokia,A,,
kone,A,,
wartsila,A,,
unilever,A,,
astrazeneca,B,,
gsk,B,,
diageo,A,,
bae-systems,A,,
rolls-royce,A,,
national-grid,B,,
reckitt,A,,
capgemini,B,,
ibm,B,,
infosys,B,,
wipro,B,,
deutsche-bank,A,,
commerzbank,A,,
dz-bank,A,,
kfw,B,,
helaba,B,,
lbbw,A,,
bayernlb,B,,
ing,A,,
unicredit,A,,
eex,B,,
bawag,A,,
oekb,B,,
vienna-insurance-group,B,,
uniqa,B,,
julius-baer,B,,
pictet,B,,
lombard-odier,B,,
zurich-insurance,B,,
swiss-life,A,,
zkb,A,,
swedbank,A,,
handelsbanken,A,,
dnb,A,,
op-financial,A,,
sampo,A,,
storebrand,A,,
hsbc,A,,
barclays,A,,
lloyds-banking-group,A,,
natwest,A,,
standard-chartered,A,,
lseg,B,,
aviva,B,,
legal-general,B,,
marsh-mclennan,B,,
agrofert,Exclude,,
csg,B,,
cpi-property-group,C,,
investor-ab,A,,
industrivarden,A,,
kinnevik,B,,
exor,A,,
porsche-se,A,,
ap-moller-holding,A,,
apollo,B,,
kkr,B,,
carlyle,B,,
blackstone,B,,
cvc,B,,
eqt,B,,
permira,B,,
advent-international,A,,
cinven,A,,
bc-partners,A,,
bridgepoint,B,,
triton,A,,
hg,B,,
ardian,A,,
tpg,A,,
bain-capital,A,,
brookfield,B,,
ares,A,,
macquarie,B,,
icg,A,,
antin,B,,
eurazeo,B,,
pai-partners,A,,
waterland,A,,
nordic-capital,A,,
altor,A,,
axcel,A,,
fsn-capital,A,,
verdane,C,,
summa-equity,A,,
dbag,A,,
mutares,A,,
capvis,A,,
ufenau,A,,
enterprise-investors,B,,
mid-europa,B,,
innova-capital,B,,
genesis-capital,Exclude,,
penta-investments,Exclude,,
amundi,Exclude,,
fidelity-international,A,,
invesco,A,,
vanguard,A,,
mg,A,,
man-group,A,,
janus-henderson,A,,
baillie-gifford,B,,
abrdn,B,,
goldman-sachs,A,,
morgan-stanley,A,,
jpmorgan-chase,A,,
citigroup,A,,
bank-of-america,A,,
lazard,A,,
rothschild-co,A,,
evercore,A,,
jefferies,A,,
houlihan-lokey,B,,
moelis,B,,
pjt-partners,B,,
perella-weinberg,B,,
nomura,B,,
wood-company,C,,
capital-group,B,,
wellington-management,B,,
t-rowe-price,B,,
pimco,B,,
franklin-templeton,B,,
robeco,A,,
columbia-threadneedle,B,,
ninety-one,B,,
union-investment,B,,
flossbach-von-storch,B,,
carmignac,B,,
jupiter-fund-management,B,,
federated-hermes,B,,
neuberger-berman,B,,
citadel,B,,
millennium-management,B,,
point72,B,,
marshall-wace,B,,
brevan-howard,B,,
qube-rt,B,,
winton,B,,
aqr,A,,
two-sigma,A,,
de-shaw,A,,
rsj,C,,
conseq,C,,
pale-fire-capital,C,,
