canonical_company_id,career_url
alixpartners,https://www.alixpartners.com/careers/
arthur-d-little,https://www.adlittle.com/en/careers
zeb-consulting,https://zeb-consulting.com/en-DE/career
implement-consulting,https://implementconsultinggroup.com/join-us/jobs
porsche-consulting,https://www.porsche-consulting.com/international/en/career/work-us
nera,https://careers.marsh.com/global/en/search-results?keywords=NERA
neste,https://www.neste.com/about-neste/people-and-careers/work-with-us
mol,https://career.molgroup.info/
volkswagen,https://www.volkswagen-group.com/en/careers-with-the-group-16105
helaba,https://www.helaba.com/de/karriere/karriere-professionals-bank.php
bayernlb,https://www.bayernlb.de/internet/de/blb/resp/karriere_1/berufserfahrene/zentralbereiche/zentral.jsp
eex,https://www.eex-group.com/en/careers
bawag,https://www.bawaggroup.com/
oekb,https://www.oekb.at/jobs-und-karriere.html
julius-baer,https://www.juliusbaer.com/en/careers/
lombard-odier,https://www.lombardodier.com/home/careers.html
zkb,https://www.zkb.ch/de/ueber-uns/jobs-karriere/stellenboerse.html
handelsbanken,https://www.handelsbanken.com/en/careers/vacancies
op-financial,https://op-careers.fi/
cpi-property-group,https://www.cpipg.com/en/career
investor-ab,https://www.investorab.com/about-investor/people/join-us
industrivarden,https://www.industrivarden.se/en-gb/
kinnevik,https://www.kinnevik.com/working-at-kinnevik/career/
exor,https://www.exor.com/pages/careers
porsche-se,https://www.porsche-se.com/karriere
cvc,https://www.cvc.com/
eqt,https://eqtgroup.com/about/careers
permira,https://www.permira.com/
advent-international,https://www.adventinternational.com/advent-at-work/
cinven,https://www.cinven.com/culture-values/
hg,https://hgcapital.com/
ardian,https://www.ardian.com/join-us
eurazeo,https://www.eurazeo.com/en/talents
pai-partners,https://www.paipartners.com/
nordic-capital,https://career.nordiccapital.com/
axcel,https://axcel.com/
fsn-capital,https://www.fsncapital.com/en/about/career/
dbag,https://www.dbag.com/careers/
mutares,https://career.mutares.com/
ufenau,https://ufenau-capital-partners.jobs.personio.com/?language=en
enterprise-investors,https://www.ei.com.pl/en/
mid-europa,https://mideuropa.com/recruitment/
innova-capital,https://innovacap.com/
penta-investments,https://www.pentainvestments.com/en/
amundi,https://about.amundi.com/join-us
abrdn,https://www.aberdeeninvestments.com/
