batch_id,display_order,opportunity_id,cohort,theme,seniority_band,selection_reason
financial-services-calibration-01,1,f4c7887859cbc284,Boundary,Accounting / Reporting,Unclear / other,Boundary case to clarify preferences
financial-services-calibration-01,2,ef6d37436f1003c2,Boundary,Treasury / Risk / Markets,Core professional,Boundary case to clarify preferences
financial-services-calibration-01,3,666697409a0fecda,Boundary,Other finance,Manager,Boundary case to clarify preferences
financial-services-calibration-01,4,ede29493d776f105,Boundary,Strategy / Consulting,Core professional,Boundary case to clarify preferences
financial-services-calibration-01,5,0ac5be37b04a4209,Boundary,Transactions / M&A,Senior leadership,Boundary case to clarify preferences
financial-services-calibration-01,6,da8287293207ef4f,Exploration,Data / Analytics,Unclear / other,Exploration case to avoid overfitting
financial-services-calibration-01,7,7a2e3d82f4b30aa8,Exploration,Other finance,Core professional,Exploration case to avoid overfitting
financial-services-calibration-01,8,31afa6724107aef8,Exploration,Tax / Compliance,Manager,Exploration case to avoid overfitting
financial-services-calibration-01,9,370e60ccb85f326e,Exploration,Treasury / Risk / Markets,Unclear / other,Exploration case to avoid overfitting
financial-services-calibration-01,10,6603f34c9d01b8d9,Exploration,Transactions / M&A,Manager,Exploration case to avoid overfitting
financial-services-calibration-01,11,0b02cb7fdf23f2fb,Exploration,Treasury / Risk / Markets,Manager,Exploration case to avoid overfitting
financial-services-calibration-01,12,364b9fedfadb2ee2,Exploration,Strategy / Consulting,Unclear / other,Exploration case to avoid overfitting
financial-services-calibration-01,13,49ccd77155c87a0c,Exploration,Other finance,Core professional,Exploration case to avoid overfitting
financial-services-calibration-01,14,7e43a13f815a3cb3,Exploration,Transactions / M&A,Core professional,Exploration case to avoid overfitting
financial-services-calibration-01,15,3d6018b097c43be8,Exploration,Other finance,Core professional,Exploration case to avoid overfitting
financial-services-calibration-01,16,f3c286f14daddf28,Exploration,Treasury / Risk / Markets,Unclear / other,Exploration case to avoid overfitting
financial-services-calibration-01,17,4e93e1711a256af8,Exploration,Transactions / M&A,Unclear / other,Exploration case to avoid overfitting
financial-services-calibration-01,18,be1f7bf50c473803,Exploration,Treasury / Risk / Markets,Manager,Exploration case to avoid overfitting
financial-services-calibration-01,19,ee60cdf0b4c0241b,Exploration,Treasury / Risk / Markets,Unclear / other,Exploration case to avoid overfitting
financial-services-calibration-01,20,d3b3263d7069f1a2,Exploration,Treasury / Risk / Markets,Unclear / other,Exploration case to avoid overfitting
