dimension,value,applications,rejected_pre_screen,reached_interview,reached_case,reached_final,offers,withdrawn
company,evotec-se,1,0,0,0,0,0,0
company,raiffeisen-bank-international,1,0,0,0,0,0,0
company,aldi-sued-holding,1,0,0,0,0,0,0
company,allianz-se,1,0,0,0,0,0,0
company,acc-group,1,0,0,0,0,0,0
company,moonfare,1,0,0,0,0,0,0
company,hasso-plattner-foundation,1,0,0,0,0,0,0
company,buesser-zeidler,1,0,0,0,0,0,0
company,roemer-capital,1,0,0,0,0,0,0
company,stegra,1,0,0,0,0,0,0
company,blue-power-partners,1,0,0,0,0,0,0
company,m-and-g,1,0,0,0,0,0,0
company,blackrock,1,0,0,0,0,0,0
company,mercer,1,0,0,0,0,0,0
company,apex-group,1,0,0,0,0,0,0
company,harbourvest,1,0,0,0,0,0,0
company,gen-digital,1,0,0,0,0,0,0
company,sandoz,1,0,0,0,0,0,0
company,porsche-holding,1,0,0,0,0,0,0
company,flix,1,0,0,0,0,0,0
company,stepstone-group,1,0,0,0,0,0,0
company,albedis,1,0,0,0,0,0,0
company,ing-bank,1,0,0,0,0,0,0
company,etl-international,1,0,0,0,0,0,0
company,ww-informatik,1,0,0,0,0,0,0
company,bcg,1,0,0,0,0,0,0
company,nobia,1,0,0,0,0,0,0
company,co-sanls-fundrock-lis-s-a,1,0,0,0,0,0,0
company,terrepower,1,0,0,0,0,0,0
company,partners-group,1,0,0,0,0,0,0
company,lyceum-technology,1,0,0,0,0,0,0
company,411-flextronics-holding-gesellschaft-m-b-h,1,0,0,0,0,0,0
company,berner-kantonalbank-ag,1,0,0,0,0,0,0
company,btc-business-technology-consulting,1,0,0,0,0,0,0
company,norsk-hydro,1,0,0,0,0,0,0
company,ey,4,0,0,0,0,0,0
company,kpmg,3,0,0,0,0,0,0
company,pwc,2,0,0,0,0,0,0
company,GoodMills Group GmbH,1,0,0,0,0,0,0
company,NovaTaste Austria GmbH,1,0,0,0,0,0,0
company_category,Corporate,14,0,0,0,0,0,0
company_category,Banking & Financial Services,5,0,0,0,0,0,0
company_category,Holding & Conglomerate,2,0,0,0,0,0,0
company_category,Public Markets & Asset Management,7,0,0,0,0,0,0
company_category,Private Equity & Private Markets,3,0,0,0,0,0,0
company_category,Investment Banking,1,0,0,0,0,0,0
company_category,Consulting,2,0,0,0,0,0,0
company_category,Specialist & Boutique Funds,1,0,0,0,0,0,0
company_category,Big Four,1,0,0,0,0,0,0
market,Germany,17,0,0,0,0,0,0
market,Austria,7,0,0,0,0,0,0
market,Switzerland,9,0,0,0,0,0,0
market,Sweden,1,0,0,0,0,0,0
market,Denmark,2,0,0,0,0,0,0
market,United Kingdom,7,0,0,0,0,0,0
market,Czechia,1,0,0,0,0,0,0
market,Luxembourg,1,0,0,0,0,0,0
market,Norway,1,0,0,0,0,0,0
