board_id,country,name,base_url,finance_specific,adapter,enabled,status,notes
mpsv-open-data-cz,Czechia,MPSV / Úřad práce open data,https://data.mpsv.cz/web/data/volna-mista-za-celou-cr,False,mpsv_open_data,True,adapter_ready,Official daily open-data vacancy dataset in JSON/JSON-LD; preferred sustainable Czech G source
jobs-cz,Czechia,Jobs.cz,https://www.jobs.cz/,False,jobs_cz_html,True,adapter_ready,Public keyword/location search pages verified; adapter implemented
prace-cz,Czechia,Prace.cz,https://www.prace.cz/,False,prace_cz_html,True,adapter_ready,Public finance listings and stable vacancy details; adapter implemented
startupjobs-cz,Czechia,StartupJobs,https://www.startupjobs.cz/,False,startupjobs_cz_html,True,adapter_ready,Server-rendered Finance catalogue and stable /nabidka/<id>/<slug> details; scraper adapter target
cocuma-cz,Czechia,Cocuma,https://www.cocuma.cz/jobs/,False,cocuma_cz_html,True,adapter_ready,Server-rendered paginated catalogue and stable job detail pages; scraper adapter target
arbeitsagentur-de,Germany,Bundesagentur Jobsuche,https://www.arbeitsagentur.de/jobsuche/,False,arbeitsagentur_html,True,active,Official German public job search; existing working G adapter
stepstone-de,Germany,StepStone.de,https://www.stepstone.de/,False,stepstone_de_html,False,manual_fallback,Technically parseable but kept manual
indeed-de,Germany,Indeed Germany,https://de.indeed.com/,False,,False,manual_fallback,Large aggregator; broad recall but not a scheduled source
stellenanzeigen-de,Germany,Stellenanzeigen.de,https://www.stellenanzeigen.de/,False,stellenanzeigen_de_html,True,adapter_ready,Server-rendered finance keyword pages and stable details
jobware-de,Germany,Jobware,https://www.jobware.de/,False,,False,manual_fallback,German professional board; no stable unattended path confirmed
karriere-at,Austria,karriere.at,https://www.karriere.at/,False,karriere_at_html,True,adapter_ready,Public keyword results and stable numeric vacancy pages
ams-at,Austria,AMS alle jobs,https://www.ams.at/arbeitsuchende/arbeitslos-was-tun/jobsuche-online-und-mobil,False,,False,manual_fallback,Official Austrian job search retained for manual fallback
stepstone-at,Austria,StepStone.at,https://www.stepstone.at/,False,stepstone_at_html,False,manual_fallback,Technically parseable but kept manual
willhaben-at,Austria,willhaben Jobs,https://www.willhaben.at/jobs/,False,willhaben_at_html,True,adapter_ready,Server-rendered search and stable /jobs/job/ details; second Austrian scrapeable source
jobwinner-ch,Switzerland,JobWinner,https://www.jobwinner.ch/,False,jobwinner_ch_html,True,adapter_ready,Server-rendered keyword search and stable /job/<id> details; current treasury roles verified
nzz-jobs-ch,Switzerland,NZZ Jobs,https://jobs.nzz.ch/,False,nzz_jobs_ch_html,True,adapter_ready,Server-rendered Swiss professional-job catalogue and stable /job/<slug>/<id> style details; treasury roles verified
arbeit-jobroom-ch,Switzerland,Job-Room / arbeit.swiss,https://www.job-room.ch/,False,,False,manual_fallback,Public portal depends on client-side search transport; manual fallback
jobs-ch,Switzerland,jobs.ch,https://www.jobs.ch/,False,jobs_ch_html,False,manual_fallback,Manual fallback
jobscout24-ch,Switzerland,JobScout24.ch,https://www.jobscout24.ch/,False,,False,blocked,Direct unattended access returned 403
jobup-ch,Switzerland,jobup.ch,https://www.jobup.ch/,False,jobup_ch_html,False,manual_fallback,Manual fallback
indeed-ch,Switzerland,Indeed Switzerland,https://ch.indeed.com/,False,,False,manual_fallback,Broad aggregator; manual fallback
findajob-uk,United Kingdom,DWP Find a job,https://findajob.dwp.gov.uk/,False,findajob_uk_html,True,adapter_ready,Official UK government vacancy service with server-rendered search
jobserve-uk,United Kingdom,JobServe,https://www.jobserve.com/gb/en/,True,jobserve_uk_html,True,adapter_ready,Server-rendered UK professional/finance listings with stable vacancy detail URLs; treasury and capital-markets roles verified
reed-uk,United Kingdom,Reed.co.uk,https://www.reed.co.uk/,False,,False,blocked,Previously returned 403 unattended; manual/web fallback only
indeed-uk,United Kingdom,Indeed UK,https://uk.indeed.com/,False,,False,manual_fallback,Large aggregator; manual fallback only
totaljobs-uk,United Kingdom,Totaljobs,https://www.totaljobs.com/,False,,False,manual_fallback,Major board but unattended search is inconsistent; manual fallback
cv-library-uk,United Kingdom,CV-Library,https://www.cv-library.co.uk/,False,cv_library_uk_html,False,manual_fallback,Technically parseable but retained as manual fallback
cityjobs-uk,United Kingdom,CityJobs,https://www.cityjobs.com/,True,,False,manual_fallback,Finance-focused manual fallback
platsbanken-se,Sweden,Platsbanken,https://arbetsformedlingen.se/platsbanken/,False,jobtech_api,True,active,Official JobSearch API; CC0 and no registration required; production adapter
jobbsafari-se,Sweden,JobbSafari,https://jobbsafari.se/,False,jobbsafari_se_html,False,manual_fallback,Manual fallback
jobbland-se,Sweden,Jobbland,https://jobbland.se/,False,jobbland_se_html,True,adapter_ready,Large server-rendered catalogue; second Swedish scraper target
ledigajobb-se,Sweden,LedigaJobb.se,https://ledigajobb.se/,False,ledigajobb_se_html,True,adapter_ready,Server-rendered finance/analyst categories and stable /jobb/ detail pages
finn-no,Norway,FINN Jobb,https://www.finn.no/job/search,False,,False,manual_fallback,Excellent inventory but manual fallback
arbeidsplassen-no,Norway,Arbeidsplassen NAV,https://arbeidsplassen.nav.no/,False,nav_stilling_feed,True,adapter_ready,Official NAV vacancy feed; API adapter implemented
finansavisen-no,Norway,Finansavisen Karriere,https://www.finansavisen.no/stillinger,True,finansavisen_no_html,True,adapter_ready,Server-rendered finance-oriented career board with current treasury/investment roles; second Norwegian scraper target
jobbnorge-no,Norway,Jobbnorge,https://www.jobbnorge.no/search/en,False,,False,manual_fallback,Client-side search; manual fallback
karrierestart-no,Norway,Karrierestart,https://karrierestart.no/,False,,False,manual_fallback,No stable machine-readable search surface confirmed
jobbank-dk,Denmark,Akademikernes Jobbank,https://jobbank.dk/,True,jobbank_dk_html,True,adapter_ready,Server-rendered professional-job search and stable /job/<id>/ details; multiple current treasury roles verified
jobdanmark-dk,Denmark,JobDanmark,https://jobdanmark.dk/,False,jobdanmark_dk_html,True,adapter_ready,Server-rendered Danish vacancy details and current treasury roles verified; second no-credential Danish scraper target
jobindex-dk,Denmark,Jobindex.dk,https://www.jobindex.dk/,False,,False,manual_fallback,Major Danish board but unattended search surface not reliably accessible
jobnet-dk,Denmark,Jobnet,https://jobnet.dk/,False,,True,api_credentials,Official JobannonceService requires onboarding/certificate access
jobfinder-dk,Denmark,Jobfinder,https://www.jobfinder.dk/,False,,False,manual_fallback,Specialist Danish board; manual fallback
ofir-dk,Denmark,Ofir,https://www.ofir.dk/,False,,False,manual_fallback,Danish board; manual fallback
jobscopenhagen-dk,Denmark,Jobs in Copenhagen,https://www.jobsincopenhagen.com/,False,,False,manual_fallback,English-language Copenhagen niche source; manual fallback
duunitori-fi,Finland,Duunitori,https://duunitori.fi/,False,,False,blocked,Previously returned 403 to unattended access
oikotie-fi,Finland,Oikotie Työpaikat,https://tyopaikat.oikotie.fi/,False,,False,closed,Oikotie Työpaikat is closed
tyomarkkinatori-fi,Finland,Työmarkkinatori,https://tyomarkkinatori.fi/henkiloasiakkaat/avoimet-tyopaikat,False,,True,api_credentials,Official Job Market Finland retrieval REST API; credentials required
jobly-fi,Finland,Jobly,https://www.jobly.fi/,False,jobly_fi_html,True,adapter_ready,Server-rendered finance category and stable vacancy details
barona-fi,Finland,Barona Jobs,https://www.barona.fi/tyopaikat/,False,barona_fi_html,True,adapter_ready,Server-rendered finance/expert vacancy catalogue; second Finnish scraper target
efinancialcareers,Multi-region,eFinancialCareers,https://www.efinancialcareers.com/,True,,False,blocked_waf,High-relevance finance index but WAF/human verification blocks unattended access
thehub,Multi-region,The Hub,https://thehub.io/,False,thehub_html,False,manual_fallback,Manual fallback
