source_id,canonical_company_id,company,market,priority_locations,seed_url,adapter,cadence_days,enabled
cez-group-global,cez-group,ČEZ Group,Multi-region,Prague and Czech Republic,https://www.kdejinde.cz/,generic,1,True
ppf-group-global,ppf-group,PPF Group,Multi-region,Prague and international,https://www.ppf.eu/en/careers,generic,1,True
kkcg-global,kkcg,KKCG,Multi-region,Prague; Lucerne; London,https://kkcg.com/en/careers,generic,1,True
jt-finance-group-global,jt-finance-group,J&T Finance Group,Multi-region,Prague and Central Europe,https://www.jtfg.com/,generic,1,True
erste-group-global,erste-group,Erste Group,Multi-region,Vienna; Prague; Central Europe,https://www.erstegroup.com/en/career,generic,1,True
allianz-group-global,allianz-group,Allianz Group,Multi-region,Munich; Frankfurt; global,https://careers.allianz.com/global/en,generic,1,True
munich-re-global,munich-re,Munich Re Group,Multi-region,Munich and global,https://careers.munichre.com/en/munichre,generic,1,True
siemens-global,siemens,Siemens,Multi-region,Munich; Berlin; Frankfurt; global,https://www.siemens.com/de-de/company/jobs/,generic,1,True
deutsche-boerse-global,deutsche-boerse,Deutsche Börse Group,Multi-region,Frankfurt and international,https://careers.deutsche-boerse.com/,generic,1,True
dws-global,dws,DWS Group,Multi-region,Frankfurt; London; global,https://www.dws.com/en-us/about-us/careers/,generic,1,True
omv-global,omv,OMV Group,Multi-region,Vienna and international,https://careers.omv.com/?locale=en_US,generic,1,True
rbi-global,rbi,Raiffeisen Bank International,Multi-region,Vienna and Central Europe,https://jobs.rbinternational.com/,generic,1,True
ubs-global,ubs,UBS Group,Multi-region,Zurich and global,https://www.ubs.com/global/en/careers/search-jobs.html,generic,1,True
swiss-re-global,swiss-re,Swiss Re,Multi-region,Zurich and global,https://www.swissre.com/careers/jobSearch.html,generic,1,True
six-group-global,six-group,SIX Group,Multi-region,Zurich and international,https://www.six-group.com/en/careers.html,generic,1,True
vontobel-global,vontobel,Vontobel,Multi-region,Zurich; Frankfurt; global,https://www.vontobel.com/de-ch/ueber-vontobel/karriere/offene-stellen/,generic,1,True
nordea-global,nordea,Nordea,Multi-region,Helsinki; Stockholm; Copenhagen; Oslo,https://www.nordea.com/en/careers,generic,1,True
seb-global,seb,SEB Group,Multi-region,Stockholm; Copenhagen; Oslo; Helsinki,https://sebgroup.com/career,generic,1,True
danske-bank-global,danske-bank,Danske Bank,Multi-region,Copenhagen; Stockholm; Helsinki; Oslo,https://danskebank.com/careers,generic,1,True
orsted-global,orsted,Ørsted,Multi-region,Copenhagen and international,https://orsted.com/en/careers/vacancies-list,generic,1,True
equinor-global,equinor,Equinor,Multi-region,Oslo and international,https://www.equinor.com/careers,generic,1,True
nbim-global,nbim,Norges Bank Investment Management,Multi-region,Oslo; London,https://www.nbim.no/en/about-us/career/vacancies/,generic,1,True
ebrd-global,ebrd,European Bank for Reconstruction and Development,Multi-region,London and resident offices,https://jobs.ebrd.com/,generic,1,True
blackrock-global,blackrock,BlackRock,Multi-region,London and global,https://careers.blackrock.com/,generic,1,True
schroders-global,schroders,Schroders,Multi-region,London and global,https://www.schroders.com/en/global/individual/careers/,generic,1,True
mckinsey-global,mckinsey,McKinsey & Company,Multi-region,Prague; Munich; Berlin; Frankfurt; Hamburg; Vienna; Zurich; Stockholm; Copenhagen; Oslo; Helsinki; London,https://www.mckinsey.com/careers/search-jobs,generic,1,True
bcg-global,bcg,Boston Consulting Group,Multi-region,Prague; Munich; Berlin; Frankfurt; Hamburg; Vienna; Zurich; Stockholm; Copenhagen; Oslo; Helsinki; London,https://careers.bcg.com/global/en/search-results,generic,1,True
kearney-global,kearney,Kearney,Multi-region,Munich; Berlin; Vienna; Zurich; Stockholm; Copenhagen; Oslo; Helsinki; London,https://www.kearney.com/careers,generic,1,True
arthur-d-little-global,arthur-d-little,Arthur D. Little,Multi-region,Prague; Munich; Frankfurt; Vienna; Zurich; Stockholm; Oslo; London,https://careers.adlittle.com/,generic,1,True
bearingpoint-global,bearingpoint,BearingPoint,Multi-region,Prague; Munich; Berlin; Frankfurt; Hamburg; Vienna; Zurich; Stockholm; Helsinki,https://www.bearingpoint.com/en/careers/,generic,1,True
accenture-global,accenture,Accenture,Multi-region,Prague; Munich; Berlin; Frankfurt; Hamburg; Vienna; Zurich; Nordics; London,https://www.accenture.com/us-en/careers/jobsearch,generic,1,True
simon-kucher-global,simon-kucher,Simon-Kucher,Multi-region,Prague; Munich; Berlin; Frankfurt; Hamburg; Vienna; Zurich; Stockholm; Copenhagen; London,https://www.simon-kucher.com/en/careers,generic,1,True
