source_id,canonical_company_id,company,market,priority_locations,seed_url,adapter,cadence_days,enabled
rwe-global,rwe,RWE,Multi-region,Essen; Hamburg; Berlin; London,https://jobs.rwe.com/,successfactors,7,True
eon-global,eon,E.ON,Multi-region,Essen; Munich; Berlin; Hamburg; London,https://careers.eon.com/,llm,7,True
enbw-global,enbw,EnBW,Multi-region,Karlsruhe; Stuttgart; Hamburg,https://careers.enbw.com/de/de,phenom,7,True
uniper-global,uniper,Uniper,Multi-region,Dusseldorf; Berlin; London,https://career5.successfactors.eu/career?company=UniperProd,successfactors,7,True
vattenfall-global,vattenfall,Vattenfall,Multi-region,Berlin; Hamburg; Stockholm; London,https://careers.smartrecruiters.com/vattenfall,smartrecruiters,7,True
statkraft-global,statkraft,Statkraft,Multi-region,Oslo; Dusseldorf; London,https://careers.smartrecruiters.com/statkraft1,smartrecruiters,14,True
fortum-global,fortum,Fortum,Multi-region,Espoo; Stockholm; Oslo,https://jobs.fortum.com/,successfactors,14,True
neste-global,neste,Neste,Multi-region,Espoo; Rotterdam; European offices,https://jobs.neste.com/,successfactors,14,True
mol-global,mol,MOL Group,Multi-region,Budapest; Prague and CEE; European offices,https://molgroup.taleo.net/careersection/external/jobsearch.ftl,llm,14,True
shell-global,shell,Shell,Multi-region,London; Hamburg; Rotterdam; European offices,https://shell.wd3.myworkdayjobs.com/ShellCareers,workday,7,True
bp-global,bp,bp,Multi-region,London; Bochum; Hamburg; European offices,https://bpinternational.wd3.myworkdayjobs.com/bpCareers,workday,7,True
trafigura-global,trafigura,Trafigura,Multi-region,Geneva; London; European offices,https://trafigura.wd3.myworkdayjobs.com/TrafiguraCareerSite,workday,14,True
vitol-global,vitol,Vitol,Multi-region,Geneva; London,https://careers.smartrecruiters.com/Vitol,smartrecruiters,14,True
glencore-global,glencore,Glencore,Multi-region,Baar; London; European offices,https://www.glencore.com/en/careers/jobs,llm,7,True
volkswagen-global,volkswagen,Volkswagen Group,Multi-region,Wolfsburg; Berlin; Munich; Hamburg,https://career5.successfactors.eu/careers?company=VWAGLPPROD10,successfactors,7,True
bmw-global,bmw,BMW Group,Multi-region,Munich; Berlin,https://www.bmwgroup.jobs/en/search.html,llm,7,True
mercedes-benz-global,mercedes-benz,Mercedes-Benz Group,Multi-region,Stuttgart; Berlin; Hamburg,https://jobs.mercedes-benz.com/enUS,llm,7,True
porsche-global,porsche,Porsche AG,Multi-region,Stuttgart; Leipzig; Berlin,https://jobs.porsche.com/index.php?ac=start,llm,7,True
bosch-global,bosch,Bosch,Multi-region,Stuttgart; Munich; Berlin; Hamburg,https://careers.smartrecruiters.com/BoschGroup,smartrecruiters,7,True
basf-global,basf,BASF,Multi-region,Ludwigshafen; Berlin; Hamburg,https://career5.successfactors.eu/career?company=C0000159936P,successfactors,14,True
bayer-global,bayer,Bayer,Multi-region,Leverkusen; Berlin,https://career.bayer.com/,llm,14,True
henkel-global,henkel,Henkel,Multi-region,Dusseldorf; Hamburg,https://www.henkel.com/careers/find-your-job-apply,llm,7,True
continental-global,continental,Continental,Multi-region,Hanover; Frankfurt; Berlin,https://careers.smartrecruiters.com/Continental,smartrecruiters,7,True
infineon-global,infineon,Infineon,Multi-region,Munich; Dresden; Villach,https://www.infineon.com/cms/en/careers/,llm,14,True
airbus-global,airbus,Airbus,Multi-region,Munich; Hamburg; London; European offices,https://ag.wd3.myworkdayjobs.com/Airbus,workday,7,True
abb-global,abb,ABB,Multi-region,Zurich; Baden; Mannheim; European offices,https://careers.abb/global/en/search-results,phenom,7,True
sap-global,sap,SAP,Multi-region,Walldorf; Berlin; Munich; Hamburg; Zurich,https://jobs.sap.com/,successfactors,7,True
dhl-global,dhl,DHL Group,Multi-region,Bonn; Frankfurt; Berlin; Hamburg; Prague,https://careers.dhl.com/global/en/search-results,phenom,7,True
nestle-global,nestle,Nestlé,Multi-region,Vevey; Lausanne; Zurich; European offices,https://career2.successfactors.eu/careers?company=nestleHRprdBX,successfactors,7,True
novartis-global,novartis,Novartis,Multi-region,Basel; Zurich; European offices,https://novartis.wd3.myworkdayjobs.com/Novartis_Careers,workday,14,True
roche-global,roche,Roche,Multi-region,Basel; Zurich; European offices,https://roche.wd3.myworkdayjobs.com/roche-ext,workday,14,True
sandoz-global,sandoz,Sandoz,Multi-region,Basel; Munich; European offices,https://sandoz.wd103.myworkdayjobs.com/Sandoz_Careers,workday,14,True
holcim-global,holcim,Holcim,Multi-region,Zug; Zurich; European offices,https://careers.holcimgroup.com/?locale=en_US,successfactors,7,True
novo-nordisk-global,novo-nordisk,Novo Nordisk,Multi-region,Copenhagen; Zurich; European offices,https://career2.successfactors.eu/careers?company=novonordisk,successfactors,14,True
maersk-global,maersk,A.P. Moller - Maersk,Multi-region,Copenhagen; Hamburg; London,https://maersk.wd3.myworkdayjobs.com/Maersk_Careers,workday,7,True
carlsberg-global,carlsberg,Carlsberg Group,Multi-region,Copenhagen; European offices,https://career2.successfactors.eu/career?company=carlsbergg,successfactors,7,True
volvo-group-global,volvo-group,Volvo Group,Multi-region,Gothenburg; Stockholm; European offices,https://jobs.volvogroup.com/,successfactors,7,True
ericsson-global,ericsson,Ericsson,Multi-region,Stockholm; Helsinki; European offices,https://www.ericsson.com/en/careers,llm,7,True
nokia-global,nokia,Nokia,Multi-region,Espoo; Stockholm; Munich; European offices,https://www.nokia.com/about-us/careers/,llm,7,True
kone-global,kone,KONE,Multi-region,Espoo; European offices,https://kone.wd3.myworkdayjobs.com/Careers,workday,7,True
wartsila-global,wartsila,Wärtsilä,Multi-region,Helsinki; Hamburg; European offices,https://career2.successfactors.eu/career?company=Wartsila,successfactors,7,True
unilever-global,unilever,Unilever,Multi-region,London; Hamburg; European offices,https://unilever.wd3.myworkdayjobs.com/Unilever_Experienced_Professionals,workday,7,True
astrazeneca-global,astrazeneca,AstraZeneca,Multi-region,London; Cambridge; Gothenburg,https://astrazeneca.wd3.myworkdayjobs.com/Careers,workday,14,True
gsk-global,gsk,GSK,Multi-region,London; European offices,https://gsk.wd5.myworkdayjobs.com/GSKCareers,workday,14,True
diageo-global,diageo,Diageo,Multi-region,London; Copenhagen coverage; European offices,https://diageo.wd3.myworkdayjobs.com/Diageo_Careers,workday,7,True
bae-systems-global,bae-systems,BAE Systems,Multi-region,London; UK sites; European offices,https://jobsearch.baesystems.com/,generic,7,True
rolls-royce-global,rolls-royce,Rolls-Royce,Multi-region,London; Derby; Bristol; European offices,https://rollsroyce.wd3.myworkdayjobs.com/professional,workday,7,True
national-grid-global,national-grid,National Grid,Multi-region,London; UK; European interconnector operations,https://jobs.nationalgrid.com/uk/jobs,llm,14,True
reckitt-global,reckitt,Reckitt,Multi-region,London; European offices,https://career2.successfactors.eu/careers?company=reckittb01,successfactors,7,True
capgemini-global,capgemini,Capgemini,Multi-region,Prague; Germany; Vienna; Zurich; Nordics; London,https://www.capgemini.com/careers/,llm,14,True
ibm-global,ibm,IBM,Multi-region,Prague; Germany; Vienna; Zurich; Nordics; London,https://careers.ibm.com/en_US/careers,llm,14,True
infosys-global,infosys,Infosys,Multi-region,Prague; Germany; Switzerland; Nordics; London,https://career.infosys.com/joblist,llm,14,True
wipro-global,wipro,Wipro,Multi-region,Prague; Germany; Switzerland; Nordics; London,https://careers.wipro.com/,successfactors,14,True
