source_id,canonical_company_id,company,market,priority_locations,seed_url,adapter,cadence_days,enabled
deutsche-bank-global,deutsche-bank,Deutsche Bank,Multi-region,Frankfurt; Berlin; London; Zurich,https://db.wd3.myworkdayjobs.com/DBWebsite,workday,7,True
commerzbank-global,commerzbank,Commerzbank,Multi-region,Frankfurt; Berlin; Hamburg; London,https://jobs.commerzbank.com/index.php?ac=search_result,llm,7,True
dz-bank-global,dz-bank,DZ BANK,Multi-region,Frankfurt; Germany,https://career012.successfactors.eu/career?company=DZBank,successfactors,7,True
kfw-global,kfw,KfW Group,Multi-region,Frankfurt; Berlin; Bonn; Cologne,https://www.kfw.de/About-KfW/Career/,llm,14,True
helaba-global,helaba,Helaba,Multi-region,Frankfurt; London,https://www.helaba.com/int/career/,llm,14,True
lbbw-global,lbbw,LBBW,Multi-region,Stuttgart; Frankfurt; Munich; London,https://karriere.lbbw.de/,successfactors,7,True
bayernlb-global,bayernlb,BayernLB,Multi-region,Munich; London,https://www.bayernlb.com/internet/en/blb/resp/career/career.jsp,llm,14,True
ing-global,ing,ING Group,Multi-region,Frankfurt; Vienna; Zurich; Nordics; London,https://ing.wd3.myworkdayjobs.com/ICSGBLCOR,workday,7,True
unicredit-global,unicredit,UniCredit,Multi-region,Munich; Vienna; Prague coverage; London,https://careers.unicredit.eu/,llm,7,True
eex-global,eex,EEX Group,Multi-region,Leipzig; Berlin; London; Paris,https://www.eex-group.com/en/career,llm,14,True
bawag-global,bawag,BAWAG Group,Multi-region,Vienna,https://jobs.bawaggroup.at,successfactors,7,True
oekb-global,oekb,OeKB Group,Multi-region,Vienna,https://www.oekb.at/jobs-und-karriere.html,llm,14,True
vienna-insurance-group-global,vienna-insurance-group,Vienna Insurance Group,Multi-region,Vienna; Prague; CEE,https://group.vig/career/,llm,14,True
uniqa-global,uniqa,UNIQA Insurance Group,Multi-region,Vienna; Prague; CEE,https://careers.uniqagroup.com/,successfactors,14,True
julius-baer-global,julius-baer,Julius Baer,Multi-region,Zurich; London,https://juliusbaer.wd3.myworkdayjobs.com/External,workday,14,True
pictet-global,pictet,Pictet Group,Multi-region,Geneva; Zurich; London,https://career5.successfactors.eu/career?company=banquepict,successfactors,14,True
lombard-odier-global,lombard-odier,Lombard Odier,Multi-region,Geneva; Zurich; London,https://lombardodier.wd3.myworkdayjobs.com/Lombard_Odier_Careers,workday,14,True
zurich-insurance-global,zurich-insurance,Zurich Insurance Group,Multi-region,Zurich; London; European offices,https://www.careers.zurich.com/,llm,14,True
swiss-life-global,swiss-life,Swiss Life Group,Multi-region,Zurich; Frankfurt; Munich; London,https://swisslife.wd3.myworkdayjobs.com/Swiss_Life_International_Division_Career_Site,workday,7,True
zkb-global,zkb,Zürcher Kantonalbank,Multi-region,Zurich,https://www.zkb.ch/en/home/career.html,llm,7,True
swedbank-global,swedbank,Swedbank,Multi-region,Stockholm; Tallinn; Riga; Vilnius,https://jobs.swedbank.com/,llm,7,True
handelsbanken-global,handelsbanken,Handelsbanken,Multi-region,Stockholm; Copenhagen; Oslo; Helsinki; London,https://www.handelsbanken.com/en/careers/vacancies,llm,7,True
dnb-global,dnb,DNB Group,Multi-region,Oslo; Stockholm; London,https://careers.smartrecruiters.com/DNB1,smartrecruiters,7,True
op-financial-global,op-financial,OP Financial Group,Multi-region,Helsinki; Finland,https://www.op-careers.fi/,llm,7,True
sampo-global,sampo,Sampo Group,Multi-region,Helsinki; Stockholm; Copenhagen,https://www.sampo.com/careers/,llm,7,True
storebrand-global,storebrand,Storebrand,Multi-region,Oslo; Stockholm,https://storebrand.wd3.myworkdayjobs.com/Storebrand_Careers,workday,7,True
hsbc-global,hsbc,HSBC Holdings,Multi-region,London; Frankfurt; Zurich,https://www.hsbc.com/careers,llm,7,True
barclays-global,barclays,Barclays,Multi-region,London; Frankfurt,https://barclays.wd3.myworkdayjobs.com/External_Career_Site_Barclays,workday,7,True
lloyds-banking-group-global,lloyds-banking-group,Lloyds Banking Group,Multi-region,London; Edinburgh; Bristol,https://lbg.wd3.myworkdayjobs.com/LBG_Careers,workday,7,True
natwest-global,natwest,NatWest Group,Multi-region,London; Edinburgh,https://jobs.natwestgroup.com/search/jobs,llm,7,True
standard-chartered-global,standard-chartered,Standard Chartered,Multi-region,London; Frankfurt,https://jobs.standardchartered.com/,successfactors,7,True
lseg-global,lseg,London Stock Exchange Group,Multi-region,London; Prague; European offices,https://lseg.wd3.myworkdayjobs.com/Careers,workday,14,True
aviva-global,aviva,Aviva,Multi-region,London; European offices,https://aviva.wd1.myworkdayjobs.com/External,workday,14,True
legal-general-global,legal-general,Legal & General,Multi-region,London; European offices,https://careers.legalandgeneral.com/,llm,14,True
marsh-mclennan-global,marsh-mclennan,Marsh McLennan,Multi-region,Prague; Germany; Zurich; Nordics; London,https://careers.marsh.com/global/en/marsh-search,phenom,14,True
