source_id,canonical_company_id,company,market,priority_locations,seed_url,adapter,cadence_days,enabled
capital-group-global,capital-group,Capital Group,Multi-region,"London, Zurich, Frankfurt",https://capgroup.wd1.myworkdayjobs.com/capitalgroupcareers,workday,1,True
wellington-management-global,wellington-management,Wellington Management,Multi-region,"London, Frankfurt, Zurich",https://wellington.wd5.myworkdayjobs.com/External,workday,1,True
t-rowe-price-global,t-rowe-price,T. Rowe Price,Multi-region,London,https://troweprice.wd5.myworkdayjobs.com/TRowePrice,workday,1,True
pimco-global,pimco,PIMCO,Multi-region,"London, Munich, Zurich",https://pimco.wd1.myworkdayjobs.com/pimco-careers,workday,1,True
franklin-templeton-global,franklin-templeton,Franklin Templeton,Multi-region,"London, Frankfurt, Zurich",https://franklintempleton.wd5.myworkdayjobs.com/Primary-External-1,workday,1,True
robeco-global,robeco,Robeco,Multi-region,"Rotterdam, London, Zurich",https://robeco.wd3.myworkdayjobs.com/robecoexternalcareers,workday,1,True
columbia-threadneedle-global,columbia-threadneedle,Columbia Threadneedle Investments,Multi-region,London,https://www.columbiathreadneedle.com/en/careers/,generic,1,True
ninety-one-global,ninety-one,Ninety One,Multi-region,London,https://ninetyone.com/en/careers,generic,1,True
union-investment-global,union-investment,Union Investment,Multi-region,Frankfurt,https://unternehmen.union-investment.de/startseite-unternehmen/karriere,generic,1,True
flossbach-von-storch-global,flossbach-von-storch,Flossbach von Storch,Multi-region,"Cologne, Frankfurt",https://www.flossbachvonstorch.de/en/career/,generic,1,True
carmignac-global,carmignac,Carmignac,Multi-region,"Paris, London, Luxembourg",https://www.carmignac.com/en_US/careers,generic,1,True
jupiter-fund-management-global,jupiter-fund-management,Jupiter Fund Management,Multi-region,London,https://jupiteram.wd3.myworkdayjobs.com/jupiter_careers,workday,1,True
federated-hermes-global,federated-hermes,Federated Hermes,Multi-region,London,https://www.federatedhermes.com/us/careers/,generic,1,True
neuberger-berman-global,neuberger-berman,Neuberger Berman,Multi-region,London,https://nb.wd1.myworkdayjobs.com/NBCareers,workday,1,True
