job_id,canonical_company_id,company,title,description,market,location,priority_locations,job_url,source_url,source_id,date_posted,discovered_at,last_seen_at,relevance_score,matched_terms,verification,status
6eed5866a40cd9c1,vanguard,Vanguard,Audit Engagement Manager - Fund & Investment Audit,"Vanguard is hiring an Audit Engagement Manager to join our Global Investment and Financial Audit Services (GIFAS) team! In this role you will oversee risk-based audit and consulting engagements across the Investment Lifecycle, including front (investment/portfolio management), middle (investment operations), and back (fund accounting and oversight) office. You’ll play a pivotal role in implementing audit strategy on key risk topics, collaborating closely with partners to drive improvements in control environments. We seek individuals with strong critical thinking, project management, and relationship-building skills who can communicate effectively, exercise sound judgment, and influence senior stakeholders. Responsibilities: Oversee the delivery of the audit and consulting engagements. Ensure the timely delivery of the highest quality work and value-add recommendations. Assess the adequacy of the technology control environment, identify gaps and opportunities for continuous improvement based on relevant knowledge and experience. Assist in developing and communicating the objectives of an engagement to audit team, department management and business clients. Outline engagement scope, determine level of associated risk and analyze data to determine underlying root causes. Challenge established processes and controls to ensure they are adequate to mitigate risk. Perform work and analysis on complex technology areas. Communicate the status and results of assigned work to various levels of management. Influence management to act on recommendations to strengthen the control environment and make process improvements. Provide opinion on audit and consulting findings, ratings, and recommendations to management. Communicate expectations to team and provide meaningful feedback to help develop team members by identifying and communicating areas for improvement in a timely manner. Establish and maintain relationships with technology management across aligned division and risk partners. Participate in special projects and perform other duties as assigned. Qualifications: Minimum of five years related work experience preferably in the financial services industry, including asset management or banking. Undergraduate degree or equivalent combination of training and experience. Advanced degree is a plus. Strong technical expertise in asset management, capital markets, and regulatory compliance is important; CIA, CPA, CFA, or FRM are preferred but not required Experience delivering internal audits, evaluating control effectiveness, and recommending improvements that support business objectives. Skilled in managing the day‑to‑day execution of audit engagements, fostering productive stakeholder relationships, and coaching junior staff. Data analytics literacy, with the ability to apply analytical techniques to extract actionable insights and drive informed decision-making. Effective communicator with strong problem-solving, documentation, and leadership skills. Special Factors Sponsorship Vanguard is not offering visa sponsorship for this position. About Vanguard At Vanguard, we don't just have a mission—we're on a mission. To work for the long-term financial wellbeing of our clients. To lead through product and services that transform our clients' lives. To learn and develop our skills as individuals and as a team. From Malvern to Melbourne, our mission drives us forward and inspires us to be our best. How We Work Vanguard has implemented a hybrid working model for the majority of our crew members, designed to capture the benefits of enhanced flexibility while enabling in-person learning, collaboration, and connection. We believe our mission-driven and highly collaborative culture is a critical enabler to support long-term client outcomes and enrich the employee experience.",Multi-region,"Malvern, PA, US",Frankfurt; London; European offices,https://www.vanguardjobs.com/job/23555737/audit-engagement-manager-fund-investment-audit-malvern-pa/,https://www.vanguardjobs.com/,vanguard-global,2026-08-27,2026-08-28T15:56:50.565447+00:00,2026-08-28T15:56:50.565447+00:00,36,investment,schema.org/JobPosting JSON-LD,Open
5dbad0e38cb3130a,vanguard,Vanguard,Internal Audit Practices Quality Specialist,"Vanguard’s Internal Audit & SOX (IAS) department is seeking an Internal Audit Practices Quality Specialist to join the Center for Audit Practices and Enablement (CAPE) team. CAPE provides leading practices and services related to audit methodology, quality assurance, training and development, and audit operations. In this role, you will execute and/or manage portions of the Internal Audit Quality Assurance and Improvement Program (QAIP) and support initiatives requiring audit and risk management expertise, including maintaining audit methodology and assisting with annual audit planning. You will also contribute to the development and delivery of guidance and training to Internal Audit teams globally. Responsibilities: Conduct independent quality assessments of Internal Audit activities to evaluate adherence to methodology and professional standards, identify improvement opportunities, and reduce audit risk. Support the development and ongoing maintenance of audit methodology and quality assurance programs, including benchmarking against professional standards, regulatory expectations, and leading practices. Contribute to departmental strategic initiatives that impact or are impacted by IAS methodology by performing analysis, drafting materials, and working cross-collaboratively to ensure methodology and practices are aligned with industry standards. Assist with annual audit planning activities, including data gathering, analysis, and creation of reporting to assist management with development of the annual plan; where applicable, use data analytics and automation to improve outcomes; help promote consistent application of planning methodology across audit teams. Serve as a technical resource to audit teams by helping interpret professional standards, explaining methodology updates, and reinforcing how changes improve audit quality and outcomes; drive enhanced outcomes and insights through effective partnerships across IAS teams. Support the development and delivery of guidance and training, including written methodology materials and learning sessions for Internal Audit teams globally. Maintain awareness of industry trends and developments by participating in professional organizations, leveraging internal and external networks, and sharing relevant insights with CAPE teammates and the broader IAS organization. Participate in special projects and other department initiatives, as assigned. Qualifications: Minimum of five years work experience in internal audit, risk or controls, preferably with exposure to audit execution and understanding of audit lifecycle and standards required. Undergraduate degree or equivalent combination of training and experience. Experience applying or interpreting audit methodology or professional standards (e.g., IIA standards, internal audit frameworks, QAIP exposure), including evaluating audit quality or supporting methodology evolution required. Demonstrated ability to work across stakeholders and contribute to audit-related initiatives, such as quality reviews, annual planning, or methodology/guidance development required. This is a hybrid role — candidates must be commutable to Vanguard's Malvern, PA office. CIA (Certified Internal Auditor), CPA (Certified Public Accountant), CISA (Certified Information Systems Auditor), or other relevant certification preferred. Special Factors Sponsorship Vanguard is not offering visa sponsorship for this position. About Vanguard At Vanguard, we don't just have a mission—we're on a mission. To work for the long-term financial wellbeing of our clients. To lead through product and services that transform our clients' lives. To learn and develop our skills as individuals and as a team. From Malvern to Melbourne, our mission drives us forward and inspires us to be our best. How We Work Vanguard has implemented a hybrid working model for the majority of our crew members, designed to capture the benefits of enhanced flexibility while enabling in-person learning, collaboration, and connection. We believe our mission-driven and highly collaborative culture is a critical enabler to support long-term client outcomes and enrich the employee experience.",Multi-region,"Malvern, PA, US",Frankfurt; London; European offices,https://www.vanguardjobs.com/job/23400879/internal-audit-practices-quality-specialist-malvern-pa/,https://www.vanguardjobs.com/,vanguard-global,2026-08-27,2026-08-28T15:56:50.565447+00:00,2026-08-28T15:56:50.565447+00:00,10,,schema.org/JobPosting JSON-LD,Open
be4d1d1e3dcc927f,holcim,Holcim,TREASURY BUSINESS PARTNER,"TE ESTAMOS BUSCANDO: TREASURY BUSINESS PARTNER Sé parte de un equipo regional con exposición a distintas geografías de Latinoamérica y contacto con equipos de Finanzas locales, regionales y corporativos. Como TBP, participarás en iniciativas clave de Cash Management, Planning de Caja, seguros y soluciones financieras, buscando optimizar la liquidez y gestión de caja en los diferentes mercados. Tus principales retos serán: Apoyar la definición de la estrategia bancaria del país buscando la optimización de comisiones bancarias y el cumplimiento de las políticas de tesorería del grupo. Gestionar en conjunto con el tesorero proyectos de estandarización regional de procesos de tesorería, buscando opciones que permitan la automatización de tareas manuales, a lo largo de los países pertenecientes al CoE (CEAM, México, Colombia, Ecuador, ABS) bien sea con agentes externos o con desarrollos en conjunto con el equipo de ADC. Participar activamente en la búsqueda/evaluación/implementación de soluciones financieras con Fintechs, bancos y demás participantes activos que permitan buscar procesos eficientes que deriven en un mejor comportamiento de los indicadores de liquidez: Reducción del DSO, Incremento del DPO, Reducción del gasto financiero; y mejora en la propuesta de valor en tiendas DISENSA. Participar activamente en la búsqueda e implementación de soluciones financieras en línea con el cumplimiento del plan 2030 para la sostenibilidad del grupo Holcim, como confirming sostenible, emisión de bonos carbono 0, Líneas verdes de financiamiento; entre otras. Gestionar la compra y venta de divisas para pago a proveedores en Moneda Extranjera. Requisitos indispensables: Profesional en Finanzas, economía, contaduría, ingeniería financiera o carreras afines con experiencia previa en relacionamiento con bancos y stakeholders financieros. Mínimo tres (3) años de Experiencia en Tesorería, gestión de efectivo, banca de inversión, negociación de divisas o cargos similares. Inglés B2 Requisitos deseados: Especialización en materias relacionadas con planeación financiera o finanzas corporativas. Lugar de trabajo: Medellín - Colombia ¡NO TE PIERDAS LA OPORTUNIDAD DE SER PARTE DE NUESTRO EQUIPO! ¡CONSTRUYE PROGRESO CON NOSOTROS!",Multi-region,"Bello, Antioquía, CO, 51050",Zug; Zurich; European offices,https://careers.holcimgroup.com/Holcim_abs/job/Bello-TREASURY-BUSINESS-PARTNER-Anti-51050/1369803157/,https://careers.holcimgroup.com/?locale=en_US,holcim-global,,2026-08-28T16:38:53.472307+00:00,2026-08-28T16:38:53.472307+00:00,36,treasury,official ATS vacancy detail,Open
da72bbb45b3752b4,holcim,Holcim,Joven Profesional - Estrategia / M&A y PMO,"TE ESTAMOS BUSCANDO: Joven Profesional – Estrategia / Inteligencia de Mercado / M&A / PMO Apoyar la Dirección de Estrategia y Crecimiento en el análisis, modelaje financiero y gestión de proyectos clave para asegurar la alineación estratégica, el crecimiento inorgánico y la ejecución eficiente de las iniciativas que impulsan la visión corporativa “NextGen Growth 2030” Estrategia y Desempeño: Contribuir a la documentación del Plan Estratégico y monitorear KPIs (financieros y de sostenibilidad), diseñando tableros de control. Crecimiento (M&A): Asistir en el modelaje financiero, la valuación y la coordinación de la Debida Diligencia (Due Diligence) en Fusiones y Adquisiciones. Ejecución (PMO): Garantizar el seguimiento, control de riesgos y desviaciones presupuestales en proyectos estratégicos como Green CAPEX y la integración de nuevas adquisiciones (PMI). Tus principales retos serán: Apoyo en el modelaje financiero y análisis de sinergias para proyectos de M&A. * Diseño y monitoreo de tableros de control y Business Reviews mensuales, cruzando métricas financieras con sostenibilidad. Asistencia en la Planeación Estratégica, incluyendo la transferencia de planes locales al ""Documento Template"" del Grupo. Monitoreo de megatendencias (nearshoring, urbanización) y análisis de la competencia (Inteligencia de Mercado). Soporte en la Metodología PMO para garantizar la ejecución de proyectos críticos (Green CAPEX y expansiones) a tiempo y en presupuesto. Apoyo en la armonización de políticas de seguridad e integración de sistemas (PMI) en nuevas adquisiciones Lugar de trabajo: Oficinas Corporativas Holcim - Av. Carlos Graef Fernández 222 Torre II Nivel 1, Colonia Lomas de Santa Fe, Código Postal 05348, Delegación Cuajimalpa. Requisitos indispensables: Profesional titulado en Administración Financiera, Ingeniería Industrial, Economía, Finanzas o carreras afines con enfoque cuantitativo y de negocios o a fines. Experiencia de 2 años en análisis financiero, consultoría estratégica o inteligencia de mercado, modelaje y valuación (para M&A) Habilidad para el Diseño de Tableros de Control y gestión de KPIs. Microsoft Excel (tablas dinámicas, fórmulas, análisis de datos, dashboards y reportes). Ingles B2 intermedio / avanzado – Conversacional Requisitos Deseados: Familiaridad con metodologías de Gestión de Proyectos (PMO), Conocimiento de herramientas de Inteligencia Artificial para pricing (ej. PROS), Entendimiento de métricas de Sostenibilidad (Green KPIs como Factor de Clinker o TSR). Soft Skills: Pensamiento crítico y resolución de problemas Influencia y Liderazgo Adaptabilidad Operativa Trabajo en equipo, liderazgo, retroalimentación, mindset digital e innovación Responsabilidad Ingles B2 Comunicación Negociación Facilidad de palabra Orientación Estratégica Números",Multi-region,MX,Zug; Zurich; European offices,https://careers.holcimgroup.com/holcim_mexico/job/Joven-Profesional-Estrategia-M&A-y-PMO/1362298857/,https://careers.holcimgroup.com/?locale=en_US,holcim-global,,2026-08-28T16:38:53.472307+00:00,2026-08-28T16:38:53.472307+00:00,36,m&a,official ATS vacancy detail,Open
9d5e713b936dc952,astrazeneca,AstraZeneca,"Senior Director, Transactions - Oncology R&D","Do you want to be at the cutting-edge of innovation that will lead to a cure for cancer? At AstraZeneca, our team is working to make this a reality by bringing together our world-leading oncology pipeline with emerging innovations and technologies. We are seeking a scientifically minded leader who is passionate about innovation in Oncology to join AstraZeneca's Oncology R&D Business Development Transactions team. AstraZeneca has grown to be a leader in Oncology through bold decisions in both our internal pipeline as well as business development. We aim to expand our leadership by leveraging external innovation and building strong scientific networks. The Senior Director, Transactions, sits within the Oncology R&D Strategy organization, supporting global business development and transactions activities with a direct impact on the success of the Oncology R&D strategy and portfolio. The Transactions team is responsible for all aspects of transaction execution, including deal structure, term sheets, deal execution and communication. By effectively structuring, presenting and implementing deals, this person will enable enterprise level investment in growth and innovation to ensure that Oncology R&D science, capabilities and project portfolio are fit for future challenges and opportunities. Major Duties and Responsibilities: Lead, coordinate and implement transactional activities, including in licensing, out licensing, acquisition or divestment of assets, clinical collaborations, discovery collaborations, partnerships and alliances Build and maintain strong external networks with biotechnology companies, academic institutions, venture capital firms, and other key stakeholders in the oncology ecosystem Manage deal negotiation and closure Collaborate with the Oncology Search & Evaluation lead in preparing and communicating the transactional aspects of deals to senior governance bodies Partner with Oncology Search & Evaluation teams, deal finance, legal, commercial teams and other partners to align collaboration, licensing, partnership and divestiture activities with Oncology's disease and science area strategies Ensure effective transition to alliance management of post-deal matters Prepare activity and achievement reports for senior management Continuously seek opportunities to improve ways of working through emerging technologies, including AI and automation tools, and serve as a role model for professional excellence both within AstraZeneca and in external forums Meaningfully contribute to BD team mission for AZ to be regarded as partner of choice Required Qualifications: Education: Bachelor’s degree in relevant field Experience: 5+ years in life sciences industry Experience and background working in a business development, licensing or commercial business role in the biopharma or pharmaceutical industry Strong oncology deal sheet including transaction leadership experience across various technology areas, with successful closure of multiple significant license or collaboration transactions as transaction lead Skills and Capabilities: Broad knowledge of oncology disease areas, drug development activities and commercial processes within the pharmaceutical industry Excellent ability to establish and act on priorities Excellent negotiation skills Ability to contribute to and fully understand the complex architecture of contracts, scientific and financial evaluations Strong communicator with ability to work collaboratively across matrixed organizations, effectively communicate to and influence leaders through data-driven storytelling, and interact effectively across multiple disciplines internally Extensive experience interacting effectively with third parties including senior representatives of peer companies, banks, venture capital firms, and other external partners Capable of representing AZ at external partnering events and industry forums Capable of making effective decisions, acting courageously and communicating with conviction and inspiration at all levels Desired Qualifications: Advanced degree in relevant field Office Working Requirements When we put unexpected teams in the same room, we unleash bold thinking with the power to inspire life-changing medicines. In-person working gives us the platform we need to connect, work at pace and challenge perceptions. That’s why we work, on average, a minimum of three days per week from the office. But that doesn’t mean we’re not flexible. We balance the expectation of being i",Multi-region,US - Cambridge Kendall SQ - MA,London; Cambridge; Gothenburg,https://astrazeneca.wd3.myworkdayjobs.com/Careers/job/US---Cambridge-Kendall-SQ---MA/Senior-Director--Transactions---Oncology-R-D_R-256156,https://astrazeneca.wd3.myworkdayjobs.com/Careers,astrazeneca-global,Posted 9 Days Ago,2026-08-28T16:37:25.614035+00:00,2026-08-28T16:37:25.614035+00:00,36,transaction,official Workday vacancy API,Open
e4c4d4fcacc8e02c,astrazeneca,AstraZeneca,"Senior Director, Transactions - Oncology R&D","Do you want to be at the cutting-edge of innovation that will lead to a cure for cancer? At AstraZeneca, our team is working to make this a reality by bringing together our world-leading oncology pipeline with emerging innovations and technologies. We are seeking a scientifically minded leader who is passionate about innovation in Oncology to join AstraZeneca's Oncology R&D Business Development Transactions team. AstraZeneca has grown to be a leader in Oncology through bold decisions in both our internal pipeline as well as business development. We aim to expand our leadership by leveraging external innovation and building strong scientific networks. The Senior Director, Transactions, sits within the Oncology R&D Strategy organization, supporting global business development and transactions activities with a direct impact on the success of the Oncology R&D strategy and portfolio. The Transactions team is responsible for all aspects of transaction execution, including deal structure, term sheets, deal execution and communication. By effectively structuring, presenting and implementing deals, this person will enable enterprise level investment in growth and innovation to ensure that Oncology R&D science, capabilities and project portfolio are fit for future challenges and opportunities. Major Duties and Responsibilities: Lead, coordinate and implement transactional activities, including in licensing, out licensing, acquisition or divestment of assets, clinical collaborations, discovery collaborations, partnerships and alliances Build and maintain strong external networks with biotechnology companies, academic institutions, venture capital firms, and other key stakeholders in the oncology ecosystem Manage deal negotiation and closure Collaborate with the Oncology Search & Evaluation lead in preparing and communicating the transactional aspects of deals to senior governance bodies Partner with Oncology Search & Evaluation teams, deal finance, legal, commercial teams and other partners to align collaboration, licensing, partnership and divestiture activities with Oncology's disease and science area strategies Ensure effective transition to alliance management of post-deal matters Prepare activity and achievement reports for senior management Continuously seek opportunities to improve ways of working through emerging technologies, including AI and automation tools, and serve as a role model for professional excellence both within AstraZeneca and in external forums Meaningfully contribute to BD team mission for AZ to be regarded as partner of choice Required Qualifications: Education: Bachelor’s degree in relevant field Experience: 5+ years in life sciences industry Experience and background working in a business development, licensing or commercial business role in the biopharma or pharmaceutical industry Strong oncology deal sheet including transaction leadership experience across various technology areas, with successful closure of multiple significant license or collaboration transactions as transaction lead Skills and Capabilities: Broad knowledge of oncology disease areas, drug development activities and commercial processes within the pharmaceutical industry Excellent ability to establish and act on priorities Excellent negotiation skills Ability to contribute to and fully understand the complex architecture of contracts, scientific and financial evaluations Strong communicator with ability to work collaboratively across matrixed organizations, effectively communicate to and influence leaders through data-driven storytelling, and interact effectively across multiple disciplines internally Extensive experience interacting effectively with third parties including senior representatives of peer companies, banks, venture capital firms, and other external partners Capable of representing AZ at external partnering events and industry forums Capable of making effective decisions, acting courageously and communicating with conviction and inspiration at all levels Desired Qualifications: Advanced degree in relevant field Office Working Requirements When we put unexpected teams in the same room, we unleash bold thinking with the power to inspire life-changing medicines. In-person working gives us the platform we need to connect, work at pace and challenge perceptions. That’s why we work, on average, a minimum of three days per week from the office. But that doesn’t mean we’re not flexible. We balance the expectation of being i",Multi-region,US - Gaithersburg - MD,London; Cambridge; Gothenburg,https://astrazeneca.wd3.myworkdayjobs.com/Careers/job/US---Gaithersburg---MD/Senior-Director--Transactions---Oncology-R-D_R-253706,https://astrazeneca.wd3.myworkdayjobs.com/Careers,astrazeneca-global,Posted 9 Days Ago,2026-08-28T16:37:25.614035+00:00,2026-08-28T16:37:25.614035+00:00,36,transaction,official Workday vacancy API,Open
592db02d1d1e1da8,wipro,Wipro,Associate Deal Execution Lead L3,"Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting company focused on building innovative solutions that address clients’ most complex digital transformation needs. Leveraging our holistic portfolio of capabilities in consulting, design, engineering, and operations, we help clients realize their boldest ambitions and build future-ready, sustainable businesses. With over 230,000 employees and business partners across 65 countries, we deliver on the promise of helping our customers, colleagues, and communities thrive in an ever-changing world. For additional information, visit us at www.wipro.com.",Multi-region,,Prague; Germany; Switzerland; Nordics; London,https://careers.wipro.com/job/Bengaluru-Associate-Deal-Execution-Lead-L3-IND-560035/189405-en_US/,https://careers.wipro.com/,wipro-global,,2026-08-28T16:37:12.201317+00:00,2026-08-28T16:37:12.201317+00:00,10,,schema.org/JobPosting microdata,Open
09768978bbd42783,bank-of-america,Bank of America,Document Administrator II,"Job Description: At Bank of America, we are guided by a common purpose to help make financial lives better through the power of every connection. We do this by driving Responsible Growth and delivering for our clients, teammates, communities and shareholders every day. Being a Great Place to Work and providing a culture of caring is core to how we drive Responsible Growth. We are intentional about fostering an inclusive workplace where every teammate has the opportunity to succeed, build a career and contribute to our shared success. This includes attracting and developing exceptional talent, recognizing and rewarding performance, and supporting our teammates’ physical, emotional, and financial wellness through affordable, competitive and flexible benefits. We value the unique perspectives individuals bring from all backgrounds and career paths - whether shaped by military service, community college education, or a wide range of work and life experiences. These journeys foster resilience, leadership and innovation, strengthening our workforce and positively impact the communities we serve. Bank of America is committed to an in-office culture that supports collaboration, engagement, and career development. Our approach includes clear in-office expectations, while providing an appropriate level of flexibility based on role-specific responsibilities and business needs. At Bank of America, you can build a successful career with opportunities to learn, grow, and make an impact. Join us! Job Description: The Doc Admin II for the Fulfillment Team will handle functions, in office, relating to closing commercial loans. Key responsibilities include documenting new facilities, amending existing facilities, and managing the closing process/due diligence requirements of commercial credit policy once engaged to Fulfillment. Must be proficient in word, and attention to detail is crucial. Effective communication and collaboration in the office with business partners, peers, and third-party vendors is essential to foster a cohesive environment. Required Skills: Demonstrated history of employing excellent communication skills both written and verbal and acts with urgency Demonstrated ability to professionally handle multiple tasks while balancing the need for both quality and efficiency in a fast-paced metric-centric environment is a necessity Prior experience in preparing legal loan documents Strong working knowledge of Microsoft Office (Word, Excel, PowerPoint, Outlook, and OneNote) Strong organizational skills with time management, and ability to manage multiple priorities under tight deadlines High level of integrity and discretion with sensitive financial information Commitment to excellent internal and external customer service Knowledge of collateral due diligence, i.e (UCC searches, title searches, insurance, and environmental) Motivated, solution driven and creative thinker Adapts and embraces change in technology, changes in policies and procedures Demonstrates the ability to lead and fosters teamwork and change Desired Skills: College Degree preferred Working knowledge of LoanIQ, HotDocs, and Credit Center Commercial real estate loan experience Paralegal experience is beneficial Comprehension of commercial credit operations Desire the commitment to take on leadership responsibilities and grow within the role Shift: 1st shift (United States of America) Hours Per Week: 40 Pay Transparency details US - MA - Waltham - 1025 Main St - 1025 Main St - Waltham (MA6536) Pay and benefits information Pay range $25.00 - $36.06 hourly pay, offers to be determined based on experience, education and skill set. Predictable pay This role is compensated with a base salary and is not incentive eligible. Benefits This role is currently benefits eligible. We provide industry-leading benefits, access to paid time off, resources and support to our employees so they can make a genuine impact and contribute to the sustainable growth of our business and the communities we serve.",Multi-region,"Waltham, Massachusetts, United States","London, Frankfurt, Zurich",https://careers.bankofamerica.com/en-us/job-detail/26029713/document-administrator-ii-waltham-massachusetts-united-states,https://careers.bankofamerica.com/en-us,bank-of-america-global,08/28/2026,2026-08-28T16:41:18.475332+00:00,2026-08-28T16:41:18.475332+00:00,10,,schema.org/JobPosting JSON-LD,Open
d6dedca5016024a7,bank-of-america,Bank of America,"EMEA Supply Chain Finance Product Manager, Global Payments Solutions, London","Job Description: Job Title: EMEA Supply Chain Finance Product Manager Corporate Title : Director Location: London Company Overview At Bank of America, we are guided by a common purpose to help make financial lives better through the power of every connection. We do this by driving Responsible Growth and delivering for our clients, teammates, communities and shareholders every day. Being a Great Place to Work and providing a culture of caring is core to how we drive Responsible Growth. We are intentional about fostering an inclusive workplace where every teammate has the opportunity to succeed, build a career and contribute to our shared success. This includes attracting and developing exceptional talent, recognizing and rewarding performance, and supporting our teammates’ physical, emotional, and financial wellness through affordable, competitive and flexible benefits. We value the unique perspectives individuals bring from all backgrounds and career paths - whether shaped by military service, community college education, or a wide range of work and life experiences. These journeys foster resilience, leadership and innovation, strengthening our workforce and positively impact the communities we serve. Bank of America is committed to an in-office culture that supports collaboration, engagement, and career development. Our approach includes clear in-office expectations, while providing an appropriate level of flexibility based on role-specific responsibilities and business needs. At Bank of America, you can build a successful career with opportunities to learn, grow, and make an impact. Join us! London Location Overview Our London office is based just a stone’s throw from the magnificent St. Paul’s Cathedral on bustling King Edward Street. Here you’ll find modern workspaces and a state-of-the-art auditorium space. In addition, we’re proud to host an onsite restaurant that shares our commitment to sustainability by providing delicious seasonal menus which have been created with the planet in mind. Make sure to take time for yourself and head up to our rooftop terrace and take in the spectacular views across London. Finally, your physical wellness is well-catered for with our onsite gym facilities and medical centre. Global Payments Solutions Group Bank of America’s Global Payments Solutions (GPS) business is hiring. Our focus on combining cutting-edge technology with innovative solutions, means we consistently deliver exceptional results for our clients. Do you want to be part of our award-winning team? We are proud to: Be a leading provider of treasury and cash management solutions Deliver for over 100,000+ clients globally, including over 73% of the Global Fortune 500 Be at the forefront of delivering treasury solutions across all segments and all industries, from middle-market businesses to the world’s largest corporate and financial institutions Provide a personalised service for our clients, backed with high-tech for their liquidity management, payments and receipts, trade and supply chain finance and FX and commercial card services We want to hear from you if you are: A highly-motivated individual Has a client-centric focus Experienced in internal and external advocacy Can challenge the status quo Collaborate with peers as well as having the ability to influence the conversation with diverse points of view Innovative with forward-thinking ideas The Team Join the Global Payments Solutions (GPS) business and play a pivotal role in evolving our Trade Finance offering across EMEA. As a Supply Chain Finance Product Manager , you will lead the strategy, development and delivery roadmap across the suite of Open Account trade finance products, including both vanilla and complex Payables, Receivables and Inventory Finance , and 3rd party-led structures . This is a high-impact role at the centre of a globally connected organisation, where you will influence product direction, drive digitisation and deliver meaningful outcomes for clients. You will step into a role shaping the Trade Finance product strategy across EMEA while contributing to global priorities. You will operate at true international scale, supporting a globally connected client base across one of the bank’s largest Payments and Trade Finance franchises. You will deliver end‑to‑end, client‑centric solutions while driving the shift towards more digital, scalable trade capabilities. You will work closely with senior stakeholders across Product, Technology, Operat",Multi-region,"London, United Kingdom","London, Frankfurt, Zurich",https://careers.bankofamerica.com/en-us/job-detail/26018469/emea-supply-chain-finance-product-manager-global-payments-solutions-london-london-united-kingdom,https://careers.bankofamerica.com/en-us,bank-of-america-global,08/28/2026,2026-08-28T16:41:18.475332+00:00,2026-08-28T16:41:18.475332+00:00,10,,schema.org/JobPosting JSON-LD,Open
c0dcf92087e530a2,bank-of-america,Bank of America,Financial Center Assistant Manager - Cartersville Joe Frank Harris Parkway Financial Center,"Job Description: At Bank of America, we are guided by a common purpose to help make financial lives better through the power of every connection. We do this by driving Responsible Growth and delivering for our clients, teammates, communities and shareholders every day. Being a Great Place to Work and providing a culture of caring is core to how we drive Responsible Growth. We are intentional about fostering an inclusive workplace where every teammate has the opportunity to succeed, build a career and contribute to our shared success. This includes attracting and developing exceptional talent, recognizing and rewarding performance, and supporting our teammates’ physical, emotional, and financial wellness through affordable, competitive and flexible benefits. We value the unique perspectives individuals bring from all backgrounds and career paths - whether shaped by military service, community college education, or a wide range of work and life experiences. These journeys foster resilience, leadership and innovation, strengthening our workforce and positively impact the communities we serve. Bank of America is committed to an in-office culture that supports collaboration, engagement, and career development. Our approach includes clear in-office expectations, while providing an appropriate level of flexibility based on role-specific responsibilities and business needs. At Bank of America, you can build a successful career with opportunities to learn, grow, and make an impact. Join us! Job Description: This job is responsible for managing a financial center (FC) in collaboration with senior team members, supporting the operational excellence of the FC and ensuring that all aspects run effectively and cohesively. Key responsibilities include overseeing of functions such as the smooth and efficient functioning of the teller line, day-to-day policy and procedure adherence, and improvement of financial center performance. Job expectations include ensuring that directives are implemented and taking up leadership responsibility for the financial center when teammates are absent. Responsibilities: Manages client traffic, engaging and appropriately routing clients, and fosters client retention Manages business results through formalized management routines and coaching Creates a world class client experience environment Manages market-level initiatives prescribed by market leaders Drives operational excellence by engaging employees on business strategy Manages organizational priorities and effective execution Required Qualifications: Is an enthusiastic, highly motivated self-starter with a strong work ethic and intense focus on results, acting in the best interest of the client Collaborates effectively to get things done, building and nurturing strong relationships Displays passion, commitment and drive to deliver an experience that improves our clients' financial lives Is confident in identifying solutions for clients based on their needs and can resolve problems independently or bring in others as needed Communicates effectively and confidently and is comfortable engaging all clients Has the ability to learn and adapt to new information and technology platforms Applies strong critical thinking and problem-solving skills to meet clients' needs Will follow established processes and guidelines in daily activities to do what is right for clients and the bank, adhering to all applicable laws and regulations Can manage complexity, prioritize tasks, delegate and execute in a fast-paced environment Can interpret performance results, find opportunities to drive success and hold others accountable to results Must be able to work weekends and/or extended hours, which may include being scheduled at any financial center location within a reasonable distance Desired Qualifications: Experience in financial services and knowledge of financial services industry, products and solutions Experience in mortgage, retail and/or hospitality Experience working in an environment with individual and team goals where goals were routinely met or exceeded Bilingual skills Skills: Coaching Customer Service Management Customer and Client Focus Performance Management Talent Development Business Operations Management Recruiting Result Orientation Risk Management Sales Performance Management Inclusive Leadership Leadership Development Prioritization Problem Solving Referral Management Minimum Education Requirement: High School Diploma / GED / Secondary School o",Multi-region,"Cartersville, Georgia, United States","London, Frankfurt, Zurich",https://careers.bankofamerica.com/en-us/job-detail/26031500/financial-center-assistant-manager-cartersville-joe-frank-harris-parkway-financial-center-cartersville-georgia-united-states,https://careers.bankofamerica.com/en-us,bank-of-america-global,08/28/2026,2026-08-28T16:41:18.475332+00:00,2026-08-28T16:41:18.475332+00:00,10,,schema.org/JobPosting JSON-LD,Open
