opportunity_id,title,company,canonical_company_id,market,location,job_url,source_url,source_id,description,description_en,first_seen_at,last_seen_at,status
00159904f2032d37,"Senior Business Analyst, Hedge Funds Technology",Wellington Management,wellington-management,Multi-region,"Boston, MA, United States",https://wellington.wd5.myworkdayjobs.com/External/job/Boston-MA-United-States/Senior-Business-Analyst_R94131-2,https://wellington.wd5.myworkdayjobs.com/External,wellington-management-global,"About Us Wellington Management offers comprehensive investment management capabilities that span nearly all segments of the global capital markets. Our investment solutions, tailored to the unique return and risk objectives of institutional clients in more than 60 countries, draw on a robust body of proprietary research and a collaborative culture that encourages independent thought and healthy debate. As a private partnership, we believe our ownership structure fosters a long-term view that aligns our perspectives with those of our clients. About the Role At Wellington Management, our appetite for technology is insatiable. We recognize that the world presents increasingly complex and fascinating questions that directly impact companies, economies, financial markets, and entire industries. We are building an innovative, industry‑leading technology platform to help answer those questions, and we are looking for talented individuals to help us do it. As part of our expanding technology organization, you will help design, build, and evolve solutions that address today’s investment challenges while delivering real, measurable impact. Our technology platform must support a high degree of scale, sophistication, and reliability, and this complexity demands exceptional people. This is an opportunity to think big, solve meaningful problems, and positively influence outcomes for our clients. JOB OVERVIEW We are seeking a Senior Business Analyst to play a critical role in delivering solutions for our hedge fund investment teams. This role requires strong analytical skills, exceptional attention to detail, and the ability to translate complex business needs into scalable technology solutions. The successful candidate will be a self‑starter who can manage multiple priorities, collaborate effectively across the organization, and operate comfortably in a fast‑paced, business‑critical environment. Excellent communication, organization, and delivery skills are essential, as is a strong desire to continuously learn and improve. The Hedge Fund Technology team supports Wellington’s hedge fund investors and related internal investment teams by delivering technology solutions that enhance the efficiency, speed, and quality of complex investment decision‑making. Current initiatives include modernization of real‑time P&L capabilities, investor‑facing analytics, and broader hedge fund tooling. In this role, you will play a key part in shaping and delivering these platforms and services. RESPONSIBILITIES As a Senior Business Analyst, this individual will have the following responsibilities: Partner directly with business stakeholders at all levels to define, analyze, prioritize, and document requirements Act as a trusted advisor and advocate for business needs, balancing near‑term delivery with long‑term platform scalability Perform detailed systems analysis and produce clear functional specifications, workflows, and use cases for delivery teams Develop a deep understanding of internal systems, APIs, and datasets to inform solution design and assist with support efforts Collaborate closely with engineering teams to ensure timely delivery of high‑quality, scalable solutions Provide input into system design and support estimation, planning, and implementation scheduling Ensure solution quality by defining and enforcing testing standards, validation controls, and auditability requirements Perform hands‑on analysis for production issues and support user training and adoption Manage product releases and coordinate post‑release validation and stabilization Develop prototypes and support UX/UI design efforts where appropriate Assist with project management activities, including status reporting, dependency management, and issue tracking QUALIFICATIONS 7+ years of experience in business analysis, with several years in investment management or financial services Proven experience working directly with business partners and leading end‑to‑end solution delivery Strong experience writing requirements, functional specifications, use cases, and test plans Solid understanding of portfolio management, investment workflows, and hedge fund operations; experience with portfolio management or portfolio implementation systems is a plus Broad understanding of asset classes (equities, fixed income, FX, derivatives) and key investment data concepts including holdings, transactions, analytics, performance, and risk Strong analytical and problem‑solving skills with ex",,,2026-09-01T10:35:02.190874+00:00,Open
002c94635d1bfd76,Head Data Integration Platform (80-100%),Vontobel,vontobel,Multi-region,"Zurich, CH",https://www.vontobel.com/en-ch/about-vontobel/careers/open-positions/9202-head-data-integration-platform-80-100/,https://www.vontobel.com/de-ch/ueber-vontobel/karriere/offene-stellen/,vontobel-global,"Do you want to run the asynchronous integration backbone of a modern private bank — and still write code? For our Data & AI Platforms department in Zürich, we are looking for a hands-on Head Data Integration Platform: a player-coach who leads a compact senior team operating the bank's event streaming, messaging and file-transfer rails, turns them into a self-service platform other teams love to build on, and enables the retirement of our legacy integration layer.",,,2026-09-01T10:35:23.184680+00:00,Open
0043a4ff5d587edf,Technical Lead - Portfolio & Advisory (m/f/d),Infront Financial Technology GmbH,,Germany,"Frankfurt am Main, Hessen, DE",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003487843-S,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003487843-S,arbeitsagentur-de,"At Infront, we are committed to fostering an inclusive workplace, recognizing our diverse team as one of our most valuable assets. For 25 years, Infront has been empowering financial market experts to make faster, smarter, compliant decisions. Over time, we have expanded our foundation by bringing together companies with more than 75 years of combined market experience and trust. All these years on, we're still building. Opening our new Madrid office this summer marks an exciting next chapter, and we're growing our team in order to write it. Our strength lies in market data, delivering reliable, accurate information through a powerful suite of tools, spanning Data Intelligence, Wealth Management solutions, and Trading & Investor solutions, that our users depend on every day. Today, we are one of Europe’s leading providers of market data and financial software, helping professionals navigate markets with confidence and speed. About the Role The Tech Lead for Portfolio & Advisory (PAS) provides senior technical leadership for the PAS business line. The role owns the technical ""HOW"" of the PAS roadmap: translating product and business priorities into scalable, secure, maintainable and interoperable solutions, while ensuring high-quality engineering execution, release readiness and operational reliability. The role partners closely with the Portfolio & Advisory Product Lead, PM/PO teams, architecture and cross-business competence teams to ensure that PAS technology decisions support the shared product roadmap, not a separate technical roadmap, and enable growth across Assetmax, Portfolio Manager, Advisory, Wealth Portal and related integrations. Key Responsibilities Technical leadership, primary focus Own PAS technical direction and solution design across architecture, platform evolution, integration patterns, technical guardrails and engineering trade-offs. This includes shaping architecture decisions, solution designs, technical standards, SDLC/QA/DevOps practices and engineering best practices. Partner with the Product Lead to deliver strategic initiatives, and with PM/PO teams to balance roadmap priorities, customer commitments, technical sustainability and delivery feasibility. This role is part of the CPO Leadership Team. The role operates at leadership-team level, aligns product and technology stakeholders, and makes pragmatic technical trade-offs between architecture quality, time-to-market, customer commitments and investment priorities. Translate PAS roadmap priorities into robust technical execution, with particular focus on scalability, API-first integration, cloud/SaaS readiness, AI-enabled workflows, interoperability, security, maintainability and performance. Current PAS strategy explicitly requires scaling PMS platforms, positioning PMS products as integration layers, API-first support for data/risk tools and AI-powered digital workflows. Drive engineering standards and quality across development, testing, release and production readiness. The role ensures code quality, technical debt management, CI/CD, observability, resilience, testing discipline, security/compliance alignment and incident follow-up are embedded in day-to-day delivery. Act as the technical decision-maker for architecture and design trade-offs, especially where delivery pressure, technical debt, interoperability, release readiness or operational risk require clear technical judgement. Coordinate technical dependencies across teams and CBCs, ensuring PAS solutions align with cross-business architecture, engineering excellence, QA, Dev/Ops, security/compliance, data engineering and UI/UX standards. Ensure predictable engineering execution: planning, estimation, build/test/release discipline, delivery transparency, early risk escalation and continuous improvement within the agreed CPO operating model. Who you are Senior engineering leader with a strong background in software architecture, modern software development, system design and engineering leadership; the Engineering Manager profile references 8+ years in software engineering with leadership experience as a baseline. Proven ability to lead architecture and engineering decisions across cloud/SaaS platforms, APIs, integration, DevOps, observability, security/compliance, quality and release readiness. PAS materials point to current and future needs around open/documented APIs, performance improvements, technical risk reduction, ecosystem integration, AI automation and operational efficiency. Decision Boundary The role is accountable for HOW PAS technology is designed and built, and for the essential DO responsibilities required to execute reliably. It does not replace the Product Lead's ownership of business strategy, budget, portfolio priorities or customer commitments; instead, it ensures those priorities are technically feasible, well-designed, built to standard and ready to operate.",,,2026-09-01T11:23:53.737958+00:00,Open
00464de10e48aba7,Junior Consultant to Valuation & Modeling - Jan 2027,Deloitte Sweden AB,,Sweden,"Stockholm, Stockholm",https://jobbsafari.se/jobb/junior-consultant-to-valuation-modeling-jan-2027-sdsel-20477083,https://jobbsafari.se/jobb/junior-consultant-to-valuation-modeling-jan-2027-sdsel-20477083,jobbsafari-se,"Company Description Deloitte is a global leader in Audit & Assurance, Tax & Legal and Consultative Services. With more than 470,000 employees in over 150 countries, we help our clients and our communities solve complex problems and achieve ambitious goals through domain and industry expertise, global reach and alliances with the largest tech providers. What defines Deloitte is our drive to make a meaningful difference. For us, this means long-term development and results for our clients and their companies, ideas and actions that also contribute to positive societal development. It is also about empowering our people and promoting their development. Job Description In Valuation & Modeling we advise our clients to help uncover and quantify value in a number of situations including M&A, investments, disputes and tax and financial reporting purposes. We provide financial analyses and valuations of businesses, equity investments, financial instruments and intangible assets. Moreover, we develop tailor-made financial models which are used for e.g. acquisitions, business planning, structuring of complex transactions, project finance and evaluation of strategic options. As a Consultant in our Valuation & Modeling team you'll contribute to the team with valuation analyses (e.g. DCFs, multiples, Monte Carlo simulations, etc.) through financial, economic and industry research as well as in-depth financial analysis. We value teamwork and team spirit highly and always work collaboratively. You will work and learn alongside other more senior team members building advanced financial models in Excel, analyzing key value drivers, participate in client meetings and prepare valuation reports. Qualifications A successful candidate has the following qualities: A graduate degree, MBA/Master's degree or equivalent, preferably with focus on finance and accounting with good academic results Great communication skills both in English and Swedish and proficiency in Excel and PowerPoint (you will quickly become exceptional!) A genuine interest in the financial markets and valuation, and a strong curiosity, drive and willingness to be challenged and develop A flexible attitude is an advantage since we often work with multiple projects simultaneously, where leveraging a structured approach in managing multiple tasks and delivering within deadlines is essential Deloitte is a multi-cultural organization where the individual employees background, experience and competence is regarded an asset. Additional Information We offer As a part of Deloitte, you will have access to the world's largest consulting network, connecting you with colleagues worldwide to support your growth, our clients, and the business. Together with skilled colleagues, clients and strong alliances, we solve the most complex challenges of tomorrow for some of Sweden's largest organizations. Growth & Development: We invest in your development through hands-on experience on real engagements, personal coaching and continuous feedback from experienced colleagues. You'll have the opportunity to push your boundaries, learn new skills and build a career that grows in line with your ambitions. Collaboration & Impact: With shared values and a strong drive to make an impact, the combination of our opportunities and your goals give you the chance to influence, and to build important relationships and networks together with colleagues from across the globe. We believe in the power of bringing people, technology and industries together to create meaningful change. Let your drive create meaningful impact. How to apply Submit your application online as soon as possible. Your application should contain your: CV University grades - The grade document you upload should have been retrieved no more than 2 months ago. Upload grades from both your bachelor and masters, if applicable. In the first step, you upload your CV. Next, you upload your university transcripts (for completed courses) and answer questions related to the role. Both your CV and complete transcripts must be uploaded for your application to be considered complete. Apply as soon as possible as we review applications on an ongoing basis. After submitting your CV, you will receive a confirmation email. If you do not receive one, please submit your application again. If you are applying for multiple roles, please indicate which role you are most interested in. At Deloitte, we value different skills, perspectives, and experiences, as it enables us to effectively solve complex challenges for our clients. We encourage you to apply for the position if you believe your skills can contribute to our team's success. As part of Deloitte's recruitment, final candidates undergo background checks with ToFindOut ( https://tofindout.se/en/background-check/ ) to ensure employee awareness, workplace safety, and regulatory compliance. For roles requiring university grades, these are verified during the recruitment process. For questions, contact the responsible recruiter. Questions? If you have any questions regarding the application process, please contact William Lim, Recruiter, at [email protected] . We look forward to your application! What impact will you make? Every day, your work will make an impact that matters, while you thrive in a dynamic culture of inclusion, collaboration and high performance. We do not just aspire to make solutions. We wish to create an impact that makes a positive and crucial difference for the people around us, our clients and our society. Deloitte is where you'll find unlimited opportunities to succeed and realize your full potential. By clicking the link above or any third-party link within this posting, you are leaving this site and going to a third-party website where the third-party website's terms and privacy policy apply Job Location Google Maps requires functional cookies to be enabled","Company Description Deloitte is a global leader in Audit & Assurance, Tax & Legal and Consultative Services. With more than 470,000 employees in over 150 countries, we help our clients and our communities solve complex problems and achieve ambitious goals through domain and industry expertise, global reach and alliances with the largest tech providers. What defines Deloitte is our drive to make a meaningful difference. For us, this means long-term development and results for our clients and their companies, ideas and actions that also contribute to positive societal development. It is also about empowering our people and promoting their development. Job Description In Valuation & Modeling we advise our clients to help uncover and quantify value in a number of situations including M&A, investments, disputes and tax and financial reporting purposes. We provide financial analyses and valuations of businesses, equity investments, financial instruments and intangible assets. Moreover, we develop tailor-made financial models which are used for e.g. acquisitions, business planning, structuring of complex transactions, project finance and evaluation of strategic options. As a Consultant in our Valuation & Modeling team you'll contribute to the team with valuation analyses (e.g. DCFs, multiples, Monte Carlo simulations, etc.) through financial, economic and industry research as well as in-depth financial analysis. We value teamwork and team spirit highly and always work collaboratively. You will work and learn alongside other more senior team members building advanced financial models in Excel, analyzing key value drivers, participate in client meetings and prepare valuation reports.",,2026-08-20T12:51:37.683861+00:00,Not seen in latest board sweep
005d925f0df14049,Forklift Operator,DHL Group,dhl,Multi-region,"Hagerstown, Maryland, United States of America",https://careers.dhl.com/global/en/job/11091938,https://careers.dhl.com/global/en/search-results,dhl-global,"<p><strong>DHL Supply Chain is Hiring!</strong> At DHL, you will play a part in one of the world’s most essential industries. There has never been a better time to join DHL Supply Chain. In a global business like ours, the opportunities are endless. So, join us. Work with us. Grow with us.</p> <p><strong>The core responsibilities of this role include: </strong>Ability work both on and off a forklift - physical labor required <strong>This position will be responsible for fulfilling mattress orders in our DC1 location.</strong></p> <p><br /><strong>Position:</strong> Forklift</p> <p><strong>Shift:</strong> 1st shift</p> <p><strong>Days:</strong> Mon-Fri</p> <p><strong>Hours:</strong> 6:00AM - 2:30PM</p> <p><strong>Pay</strong>: $21.50 per hour</p> <p><strong>Additional Incentives:</strong> All full-time employees are eligible to qualify for monthly referral bonuses!</p> <p><strong>In addition to the general job description below, the ideal candidate will also possess the following skills and/or experience</strong>:</p> <p>Position is for a ""Rebox"" associate</p> <p>Daily duties will include unpackaging damages units, inspecting product and repackaging them into new boxes. Additionaly accessorial tasks to be assigned as needed.</p> <p></p> <p>Be part of the world’s largest logistics company!DHL Supply Chain has been certified as a Great Place to Work® in the US and Canada! Our excellent benefits packages includes:<br />- Affordable medical, dental, and vision coverage available beginning on your 30th day<br />- PTO program for all associates, including paid holidays and vacation<br />- 401(k) with generous company match<br />- Tuition reimbursement program<br />- Excellent training and career advancement opportunities</p> <p>Grow your skills. Shape your world.</p><br /><p><strong style=""color: black;"">Role Purpose</strong><span style=""color: black;"">:</span></p><p><span style=""color: black;""></span></p><p><span style=""color: black;"">What will you do in this role? Our Forklift Operators are responsible for moving stock from one area to another within our warehouse environment. You’ll load and unload shipments of various sizes, and you may use certain types of equipment such as stand-up, sit-down, or clamp forklifts and electric pallet jacks.Our environment is team oriented, fast paced and safety focused. We move products that people need and want. At DHL, YOU will be an essential part of everyday life.</span></p><p></p><p><strong>Key Accountabilities</strong>:</p><p></p><ul><li>Load, unload, move, stock, and stage products and materials using various types of forklifts or other power equipment 80% of specified shift.</li><li>Pull and prepare product for shipment ensuring the exact number and types of product is loaded.</li><li>Keep appropriate records and reports for inventory accuracy.</li><li>Comply with all OSHA and MSDS standards.</li><li>Verify load accuracy; check the load count, stability, and product damage, report variances as necessary.</li><li>Change equipment battery or LP tank and monitor power source as necessary.</li><li>Maintain the facility’s equipment and materials in a neat, clean, and orderly fashion.</li><li>Assist in physical inventories.</li><li>Complete daily inspection of equipment.</li><li>Perform other duties as assigned.</li></ul><p></p><p><strong>Required Education and Experience</strong>:</p><p></p><ul><li>Forklift operator certificate or satisfactory completion of a forklift-training program within the first 30 days of employment</li><li>High School Diploma or Equivalent, preferred</li><li>Six months warehouse experience, preferred</li><li>Six months forklift operation experience</li></ul><p></p><p>Our Organization is an equal opportunity employer.</p><p><span style=""color: rgb(255, 255, 255);"">#LI-DNI</span></p><p><span style=""color: rgb(255, 255, 255);"">#LI-Onsite</span></p>",,,2026-09-01T08:57:03.865413+00:00,Open
0069aeaf6c0bff0a,IT Controller 80-100% (m/w/d),BIBUS AG,,Switzerland,"Allmendstrasse 26, 8320 Fehraltorf, Allmendstrasse 26, 8320 Fehraltorf, CH",https://www.jobwinner.ch/job/1694137782,https://www.jobwinner.ch/job/1694137782,jobwinner-ch,"Die BIBUS HOLDING AG ist ein familiengeführtes Grosshandelsunternehmen in der Industrie, welches in Europa und Asien tätig ist. Die Kernkompetenzen liegen in den Bereichen Technik, Werkstoffe und Elektronik sowie Engineering, Logistik und Service. Der Hauptsitz mit fünf unabhängigen Gesellschaften ist in Fehraltorf domiziliert und sowohl mit den öffentlichen als auch mit privaten Verkehrsmitteln gut erreichbar. Zur Verstärkung unseres Teams am Hauptsitz in Fehraltorf suchen wir per sofort oder nach Vereinbarung eine dienstleistungsorientierte und verantwortungsvolle Persönlichkeit. IT Controller 80-100% (m/w/d) Die Stelle wird neu geschaffen und ist zunächst in der IT angesiedelt. In dieser spannenden Aufgabe sind Sie für folgende Aufgaben zuständig: IHRE AUFGABEN Aufbau und Etablierung eines strukturierten IT-Controllings für die BIBUS Gruppe Verteilung und Verrechnung der IT-Kosten auf Gesellschaften und Kostenstellen sowie Dokumentation und Pflege der Verteilschlüssel Budgetcontrolling mit laufendem Soll-Ist-Vergleich, Abweichungsanalysen und Mitwirkung bei Budgetierung und Forecast Projektcontrolling unserer IT-Projekte: Kostenverfolgung, Abgleich mit der Budgetplanung, Fortschrittskontrolle und Reporting Aufbau einer gruppenweiten, konsolidierten Sicht auf die IT-Kosten über alle Ländergesellschaften hinweg Erstellung von Business Cases für IT-Investitionen (z.B. Ablösung bestehender VPN-Anbindungen durch SD-WAN) Monatliche Kostenreports und regelmässige TCO-Betrachtungen zuhanden des Managements UNSERE ANFORDERUNGEN Betriebswirtschaftliche oder wirtschaftsinformatische Ausbildung, alternativ kaufmännische Grundausbildung mit Weiterbildung im Controlling (z.B. Fachausweis Finanz- und Rechnungswesen, Controller-Diplom) Mehrjährige Controlling-Erfahrung, davon mindestens zwei Jahre mit klarem IT-Bezug Sicherer Umgang mit Kostenrechnung, Umlagen und Verrechnungslogiken Erfahrung in der Erstellung von Business Cases und Wirtschaftlichkeitsrechnungen Sehr gute Excel-Kenntnisse sowie Erfahrung mit einem ERP-System, idealerweise Microsoft Dynamics Kenntnisse in BI- und Reporting-Tools (z.B. Power BI) sowie Verständnis für IT-Kostenstrukturen wie Lizenz- und Subscription-Modelle, Cloud-Kosten oder Managed Services von Vorteil Strukturierte und selbstständige Arbeitsweise sowie Freude daran, eine Funktion aufzubauen statt eine bestehende weiterzuführen Kommunikationsstärke und Überzeugungskraft, um zwischen IT und Finance zu vermitteln Teamplayer mit Eigenverantwortung und hoher Sozialkompetenz Gute Deutsch- und Englischkenntnisse DIE VORZÜGE Es erwarten Sie vielseitige und interessante Aufgaben mit hoher Eigenverantwortung und grosser Selbständigkeit in einem dynamischen Arbeitsumfeld. Neben guten Sozialleistungen und fortschrittlichen Anstellungsbedingungen (5 Wochen Ferien, Homeoffice, 42 Stundenwoche, Brückentage, Gleitzeit, Gratis-Parkplätze, Firmenevents) finden Sie bei uns einen modernen Arbeitsplatz. Wir bieten transparente und unkomplizierte Betriebsverhältnisse in einem familiär geprägten Unternehmen. Wir haben ein gutes Image in der Industrie. Verschaffen Sie sich einen vielseitigen Einblick über unsere spannende Tätigkeit auf www.bibus.com . IHR KONTAKT Fühlen Sie sich von dieser vielseitigen Herausforderung angesprochen? Dann freuen wir uns auf Ihre aussagekräftigen Bewerbungsunterlagen an Frau Sabrina Di Pierno, Assistentin der Geschäftsleitung. BIBUS HOLDING AG , Allmendstrasse 26, CH-8320 Fehraltorf, www.bibus.com",,,2026-09-01T11:49:17.133691+00:00,Open
006d5275b857e36c,Private Credit Investment Professional,Partners Group,partners-group,Multi-region,,https://jobs.partnersgroup.com/job/Singapore-Private-Credit-Investment-Professional/1432244733/,https://jobs.partnersgroup.com/,partners-group-global,"What it's about What it's about Prepare detailed qualitative and quantitative analysis for the assessment of prospective private credit investments. Key responsibilities will include LBO modelling, analysis of due diligence materials, writing internal investment committee memorandums and contributing to investment committee discussions. Assist with the ongoing management of private credit investments including monitoring of investee company performance and attending management meetings. Various other tasks such as valuation assessments, product reporting, market research and supporting Partners Group’s fundraising efforts. What we expect Excellent academic credentials, with coursework emphasis on Finance/Accounting, Business Administration, Economics, and/or Engineering 2 - 4 years of relevant work experience in private equity, investment banking, investment management or accountancy within a top-tier institution. Excellent analytical skills and attention to detail with demonstrable financial modelling skills. Team player with strong interpersonal and communication abilities. Fluent English language skills. Other Asian languages would be desirable but not essential. Occassional travel may be required. What we offer Partners Group is a global financial institution that retains the culture, pace and agility of a start-up. As a growing firm, we are committed to attracting, developing and retaining the very best talent, by offering a workplace where results are truly recognized and rewarded. We offer you a fantastic opportunity for you to grow: Professional, international working environment Challenging, rewarding career within a growing company Collaborative environment, with on-the-job training and mentorship opportunities 25 vacation days One-month sabbatical after every five years of service Lunch stipend Fun office and team events, including volunteer opportunities to connect with and help our local communities www.partnersgroup.com Please be aware, fraudsters may pose as Partners Group recruiters. All g enuine representatives can be identified by a verified sign on their LinkedIn profiles. If you suspect fraud or have doubts, contact us immediately at hr@partnersgroup.com",,,2026-09-01T10:31:11.249116+00:00,Open
0071ea1ba773e28d,Data Analytics Specialist (NOT REMOTE),Continental,continental,Multi-region,"Sergeičikai I, Kauno apskr., Lithuania",https://jobs.smartrecruiters.com/Continental/744000146169749-data-analytics-specialist-not-remote-,https://careers.smartrecruiters.com/Continental,continental-global,"Key targets: Responsible for development, execution and maintenance of reporting relevant for business. Development of process automation solutions aligned with process requirements. Development, maintenance and continuous improvement of data management solutions. Core Responsibility Areas 1. Data Management & Data Modeling Design and maintain data models for reporting and analytics. Integrate multiple business data sources into efficient, sustainable data structures. Ensure data quality, GDPR compliance, and adherence to internal standards. Automate data refresh processes where possible. 2. Reporting Define reporting requirements with business stakeholders. Develop reporting concepts and dashboards aligned with business objectives. Perform reporting quality assurance and testing. Document KPIs, definitions, data relationships, exceptions, and reporting standards. 3. Process Automation Identify business processes suitable for automation. Design sustainable automation solutions with performance monitoring mechanisms. Assess business impacts and dependencies across affected functions. Continuously improve automated solutions through root cause analysis and optimization. 4. Project Management Gather and document business requirements. Create development plans, milestones, and stakeholder communication plans. Manage project risks, mitigation measures, and contingency plans. Ensure project documentation follows internal standards. Support rollout, user training, and ongoing maintenance. 5. Quality & Governance Develop and execute testing procedures before release. Establish quality controls for reporting and automation solutions. Maintain traceable documentation and governance standards. Drive continuous improvement and operational stability. You can be a perfect match in our team if you are/have: Student or graduate of IT, Computer Science, Mathematics, Engineering or equivalent education programs welcomed Data Modeling (Power BI, SQL, Databases) Report & KPI Development Data Governance & GDPR Process Automation (Power Automate, RPA, workflow tools) AI tools knowledge welcomed Good English skills (speaking, listening, reading, and writing) Good computer skills, Microsoft Office package Communication skills Ability to complete assigned tasks independently Organizational and time management skills Keen to contribute & not shy to share their thoughts with the team",,,2026-08-30T20:11:22.660931+00:00,Open
0073eb4e65fdae0a,Robotics Service Paint Technician,ABB,abb,Multi-region,"Auburn Hills, Michigan, United States of America",https://careers.abb/global/en/job/JR00041020,https://careers.abb/global/en/search-results,abb-global,"<p>At ABB, we help industries outrun - leaner and cleaner. Here, progress is an expectation - for you, your team, and the world. As a global market leader, we’ll give you what you need to make it happen. It won’t always be easy, growing takes grit. But at ABB, you’ll never run alone. Run what runs the world.</p><p></p><p>This role sits within ABB's Robotics business, a leading global robotics company. We're entering an exciting new chapter as we’ve announced the plan for SoftBank Group to acquire ABB Robotics. SoftBank is a globally recognized technology group and investor/operator focused on AI, robotics, and next-generation computing. By joining us now, you’ll be part of a pioneering team shaping the future of robotics—working alongside world-class experts in a fast-moving, innovation-driven environment.</p><p style=""text-align:inherit""></p><p style=""text-align:left"">This Position reports to:</p>Field Service Manager - Robotic Applicat<p style=""text-align:inherit""><br /> </p><p></p><p><b><span>The work model for the role is</span></b><span>: #LI-Hybrid in Auburn Hills, MI or SC, TN, AL, IL or WI and travel as needed.</span></p><p></p><p><b>Your Role and Responsibilities:</b></p><ul><li><p>Perform on-call emergency repairs of ABB Robotic system equipment in the field</p></li><li><p>Provide system integration support of ABB robots to designated build shops as well as the end users</p></li><li><p>Perform robot program changes such as logic, software and path alterations through either off-line or on-line methodology</p></li><li><p>Have mechanical aptitude for performing any mechanical component repair or replacement</p></li><li><p>Provide robot specific or systems training in an informal environment to customers as required</p></li><li><p>Have knowledge of PLC communications and other robotic peripheral equipment</p></li><li><p>Ability to communicate with customers (external and internal) in high pressure situations and maintain strong customer relationships</p></li><li><p>Ability to be proactive to support customer needs</p></li><li><p>Strong initiative in finding work activities during slow periods</p></li><li><p>Capable of traveling on short notice and handle rigors of air travel; communicate work location and status daily</p></li><li><p>Submit Sales leads for additional Robotic and system opportunities</p></li><li><p>Ability to think analytically; ability to work autonomously, and make sound judgments</p></li></ul><p></p><p><b>Our Team Dynamics</b></p><p>Our teams support each other, collaborate, and never stop learning. Everyone brings something unique, and together we push ideas forward to solve real problems. Being part of our team means your work matters - because the progress we make here creates real impact out there.</p><p></p><p><b>Qualifications for the Role:</b></p><ul><li><p>Minimum high school diploma and robotics experience with basic understanding of Robotic fundamentals and 7 years with Robotics Paint Application.</p></li><li><p>Preferred Qualifications:</p><ul><li><p>B.S. Technical degree preferred in Electrical or Mechanical fields</p></li><li><p>Troubleshooting through deductive reasoning</p></li><li><p>Formal training or equivalent experience with PLC’s preferred with the ability to read and understand Ladder Logic</p></li><li><p>Computer skills (DOS, Windows)</p></li></ul></li><li><p>Knowledgeable in paint application for automated electrostatic spray equipment including centrifugal rotary atomization (bells) and air atomization (guns). Must be able to use this equipment for applying paint.</p></li><li><p>Uniform Paint Build/Color Match/Appearance /Smoothness</p></li><li><p>Understanding of the variables that affect application Temperature, Humidity, etc.</p></li><li><p>Mechanically knowledgeable in paint applications and automated electrostatic spray equipment. Capable of Disassemble/Assemble/Repair paint application equipment. Understand the variations within this equipment and the correct/best use of these variations.</p></li><li><p><span>Candidates must already posess authorization to work for ABB in the US.</span></p></li></ul><p></p><p><b>What’s in it for you?</b></p><p>We give you the space to lead, the support to grow, and the chance to make a difference. Whether you're solving problems, building something new, or helping others succeed, your impact is real. You’ll be part of a team that values your voice and celebrates your progress.</p><p></p><p><b>Benefits</b>: Our benefits? Competit",,,2026-08-30T20:11:30.422864+00:00,Open
00882b9f53fe0ac7,Inventory Control Clerk,DHL Group,dhl,Multi-region,"Hanford, California, United States of America",https://careers.dhl.com/global/en/job/11102455,https://careers.dhl.com/global/en/search-results,dhl-global,"<p>DHL Supply Chain is Hiring! At DHL, you will play a part in one of the world’s most essential industries. There has never been a better time to join DHL Supply Chain. In a global business like ours, the opportunities are endless. So, join us. Work with us. Grow with us.</p> <p></p> <p>The core responsibilities of this role include: Minamum of 6 months experience with cycle counts; Previous experience with Warehouse Managaement Systems (WMS).</p> <p>Position: First (1st) Shift Inventory Control<br />Shift: Monday-Friday 5am-1:30pm<br />Pay: $22.25 per hour</p> <p>In addition to the general job description below, the ideal candidate will also possess the following skills and/or experience: Minimum of 6 months experience working in a warehouse</p> <p></p> <p><strong>Be part of the world’s largest logistics company! DHL Supply Chain has been certified as a Great Place to Work® in the US and Canada! Our excellent benefits packages includes:</strong></p> <p>Affordable medical, dental, and vision coverage available beginning on your 30th day</p> <p>PTO program for all associates, including paid holidays and vacation<br />401(k) with generous company match<br />Tuition reimbursement program<br />Excellent training and career advancement opportunities</p> <p><strong>Grow your skills. Shape your world.</strong></p><br /><p><strong>Role Purpose</strong>:</p><p></p><p>Responsible for maintaining inventory accuracy by verifying all inbound and outbound orders. Insure that inventory entries and adjustments are reflected accurately in the warehouse management system.</p><p></p><p><strong>Key Accountabilities</strong>:</p><p></p><ul><li>Maintain inventory records.</li><li>Perform daily inventory management procedures and duties.</li><li>Coordinate physical inventory procedures and adjust system as necessary.</li><li>Follow procedures to accurately adjust inventory for over/short, defective, and damaged product.</li><li>Perform routine clerical assignments including filing invoices and maintaining records.</li></ul><p></p><p><strong>Required Education and Experience</strong>:</p><p></p><ul><li>High School Diploma or Equivalent</li><li>Six months warehousing and inventory experience, preferred</li><li>Forklift operator certificate or satisfactory completion of a forklift-training program within the first 30 days of employment, preferred</li></ul><p></p><p>Our Organization is an equal opportunity employer.</p><p><span style=""color: rgb(255, 255, 255);"">#LI-Onsite</span></p><p><span style=""color: rgb(255, 255, 255);"">#LI-DNI</span></p>",,,2026-09-01T10:31:17.566376+00:00,Open
