opportunity_id,title,company,canonical_company_id,market,location,job_url,source_url,source_id,description,date_posted,first_seen_at,last_seen_at,status
indeed-ch_892ec5cfee6630d6,"Switzerland Investment Banking, Analyst/Associate, CH, Global Advisory",Rothschild & Co,,Switzerland,Zurich,https://www.rothschildandco.com/en/careers/experienced-professionals/vacancies/switzerland-investment-banking-analystassociate-ch-global-advisory/,https://ch.indeed.com/viewjob?jk=892ec5cfee6630d6,892ec5cfee6630d6,"Global Advisory role executing M&A and equity and debt financing transactions. Owns corporate-finance analyses, financial models and valuations, prepares client and offering materials, leads junior workstreams and supports transactions from opportunity evaluation through execution.",,2026-09-14T16:11:48Z,2026-09-14T16:11:48Z,Open
indeed-ch_c8d873af5be82aca,2027 Graduate Talent Program – Asset Management ETF Structuring – ZH,UBS,,Switzerland,Zurich,https://ch.indeed.com/viewjob?jk=c8d873af5be82aca,https://ch.indeed.com/viewjob?jk=c8d873af5be82aca,c8d873af5be82aca,"UBS Asset Management graduate role in ETF structuring, supporting the development and analysis of index and exchange-traded investment products while building knowledge of asset-management strategy, product economics, markets and institutional client requirements.",,2026-09-14T16:11:48Z,2026-09-14T16:11:48Z,Open
indeed-ch_82e253f93ef37872,2027 Graduate Talent Program – Asset Management UGA – ZH,UBS,,Switzerland,Zurich,https://ch.indeed.com/viewjob?jk=82e253f93ef37872,https://ch.indeed.com/viewjob?jk=82e253f93ef37872,82e253f93ef37872,"UBS Asset Management graduate program focused on UGA and private infrastructure investing, providing hands-on exposure to investment analysis, portfolio work and the evaluation of diversified private-market assets within a global investment manager.",,2026-09-14T16:11:48Z,2026-09-14T16:11:48Z,Open
indeed-ch_6b99d403cdf98f98,2027 Graduate Talent Program – Asset Management Investments,UBS,,Switzerland,Zurich,https://jobs.ubs.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&jobid=344546&partnerid=25008&siteid=5012,https://ch.indeed.com/viewjob?jk=6b99d403cdf98f98,6b99d403cdf98f98,"Eighteen-month UBS Asset Management investment program with rotations across asset classes and investment teams. Supports products, solutions and advice for institutional and other clients and develops practical knowledge of financial markets, traditional investments and real estate.",,2026-09-14T16:11:48Z,2026-09-14T16:11:48Z,Open
indeed-se_66b149e99a051a69,Junior Operational Risk Manager,Vattenfall,,Sweden,Solna,https://careers.vattenfall.com/se/sv/job/junior-operational-risk-manager-in-solna-jid-52747,https://se.indeed.com/viewjob?jk=66b149e99a051a69,66b149e99a051a69,"Operational-risk role in Vattenfall Markets covering incident management, root-cause analysis, corrective actions, risk dashboards, counterparty KYC, sanctions and ownership screening, enhanced due diligence and recurring management insight on operational weaknesses.",,2026-09-14T16:11:48Z,2026-09-14T16:11:48Z,Open
indeed-se_e2a1e8aa67b43b29,Project Controller,Kongsberg Maritime Sweden AB,,Sweden,Kristinehamn,https://se.indeed.com/viewjob?jk=e2a1e8aa67b43b29,https://se.indeed.com/viewjob?jk=e2a1e8aa67b43b29,e2a1e8aa67b43b29,"Project-controller role in the Kristinehamn finance team, supporting project budgets, forecasts, cost and margin follow-up, financial reporting and analysis for project managers. The listing seeks a finance-related degree and two to five years of relevant experience.",,2026-09-14T16:11:48Z,2026-09-14T16:11:48Z,Open
indeed-se_52571ba967e489c4,Senior Financial Controller to Parent Bank Accounting & Reporting,SEB,,Sweden,Solna,https://se.indeed.com/viewjob?jk=52571ba967e489c4,https://se.indeed.com/viewjob?jk=52571ba967e489c4,52571ba967e489c4,"Senior controller role in SEB Parent Bank Accounting & Reporting ensuring high-quality accounting, internal financial reporting and regulatory reporting, with accountability for internal funds-transfer-pricing processes and cooperation with senior finance stakeholders.",,2026-09-14T16:11:48Z,2026-09-14T16:11:48Z,Open
indeed-se_0c77628f4e39b989,Financial Controller to If corporate control within Sampo Group Control,If Skadeförsäkring AB,,Sweden,Stockholm,https://se.indeed.com/viewjob?jk=0c77628f4e39b989,https://se.indeed.com/viewjob?jk=0c77628f4e39b989,0c77628f4e39b989,"Corporate-control role within Sampo Group combining financial reporting, planning and forecasting with financial steering, performance analysis and decision support. It also contributes to process improvement, automation and stronger use of data across finance.",,2026-09-14T16:11:48Z,2026-09-14T16:11:48Z,Open
indeed-se_6cf69e058250819b,Temporary Group Controller: Sustainability & HR,Atlas Copco Group,,Sweden,Stockholm,https://se.indeed.com/viewjob?jk=6cf69e058250819b,https://se.indeed.com/viewjob?jk=6cf69e058250819b,6cf69e058250819b,"Temporary group-controller assignment maintaining continuity in sustainability and HR reporting during a corporate consolidation-system implementation, coordinating reporting cycles and supporting smaller reporting and process-improvement projects.",,2026-09-14T16:11:48Z,2026-09-14T16:11:48Z,Open
indeed-se_eab2f976e81ed21e,Financial Controller,Scania,,Sweden,Södertälje,https://jobs.scania.com/job/S%C3%B6dert%C3%A4lje-Financial-Controller-151-38/1436183633/,https://se.indeed.com/viewjob?jk=eab2f976e81ed21e,eab2f976e81ed21e,"Financial-controller role in TRATON Finans AB supporting a customer-finance portfolio of about SEK 26 billion. Provides reporting, planning, forecasting and analysis, strengthens governance and internal controls, and develops finance processes and decision support.",,2026-09-14T16:11:48Z,2026-09-14T16:11:48Z,Open
indeed-no_64b0e7ddd75da8af,"Investment Director, Renewable Energy (Oslo)",Norfund,,Norway,Oslo,https://no.indeed.com/viewjob?jk=64b0e7ddd75da8af,https://no.indeed.com/viewjob?jk=64b0e7ddd75da8af,64b0e7ddd75da8af,"Investment Director role leading renewable-energy investments for Norfund, covering origination, investment assessment, transaction execution and portfolio stewardship in developing markets. The position requires at least fifteen years across private equity, infrastructure, project finance, investment banking or M&A.",,2026-09-14T16:11:48Z,2026-09-14T16:11:48Z,Open
