candidate_id,canonical_company_id,company,title,city,country,official_url,role_summary_en,experience_signal,language_signal,initial_bucket,checked_at,status
pe-001,partners-group,Partners Group,Infrastructure Asset Management Associate,London,United Kingdom,https://jobs.partnersgroup.com/job/London-Infrastructure-Asset-Management-Associate/1397243533/,"Infrastructure portfolio value creation, strategic planning, operational improvement, performance monitoring and deal due diligence.",3-5 years,English,Likely fit,2026-08-12,Open
pe-002,partners-group,Partners Group,Junior Asset Class Analyst,Baar/Zug,Switzerland,https://jobs.partnersgroup.com/job/Baar-Junior-Asset-Class-Analyst/1368649533/,"AI-enabled analytics, fundraising materials, portfolio analysis and reporting for Private Infrastructure.",1-2 years,English,Boundary,2026-08-12,Open
pe-003,partners-group,Partners Group,Quantitative Risk Manager,Baar/Zug,Switzerland,https://jobs.partnersgroup.com/job/Baar-Quantitative-Risk-Manager/1372684433/,"Private-markets risk models, scenario analysis, management reporting and quantitative decision tools.",4-6 years,English,Likely fit,2026-08-12,Open
pe-004,partners-group,Partners Group,(Senior) Fund Controller - Automation,Baar/Zug,Switzerland,https://jobs.partnersgroup.com/job/Baar-%28Senior%29-Fund-Controller-Automation/1395185133/,"Fund control, NAV review, data analytics and Python-led process automation.",5+ years,English,Boundary,2026-08-12,Open
pe-005,partners-group,Partners Group,"Financial Analyst / Associate, Real Estate Directs",Milan,Italy,https://jobs.partnersgroup.com/job/London-Financial-Analyst-%28REAL-Directs%29/1366903833/,"Underwrites direct real-estate investments, builds models, leads due diligence and supports execution and asset management.",2-4 years,Italian and English,Exploration,2026-08-12,Open
pe-006,ardian,Ardian,Fund Finance - Secondaries & Primaries Analyst,Frankfurt,Germany,https://ardian.wd103.myworkdayjobs.com/en-US/ArdianCareers/job/Fund-Finance---Secondaries---Primaries-Analyst---Germany_JR1001960-1,"Controls PE vehicles, analyses performance and valuations, manages cash flows and debt, and prepares dashboards and investor reporting.",0-3 years,Fluent German and English,Boundary,2026-08-12,Open
pe-007,ardian,Ardian,Infrastructure Funds - Finance Associate,Paris,France,https://ardian.wd103.myworkdayjobs.com/en-US/ArdianCareers/job/Infrastructure-Funds---Finance-Associate_JR1001897,"Infrastructure fund operations, valuations, IRRs, debt, liquidity, reporting and process improvement.",0.5-2 years,English,Exploration,2026-08-12,Open
pe-008,ardian,Ardian,Product Specialist Analyst,Paris,France,https://ardian.wd103.myworkdayjobs.com/en-US/ardiancareers/job/Paris/Product-Specialist-Analyst--H-F-_JR1001876,"Market analysis, fund materials, data rooms and management reporting between investment and fundraising teams.",2+ years,French and English,Exploration,2026-08-12,Open
pe-009,ares,Ares Management,"Associate, Private Equity Secondaries",London,United Kingdom,https://aresmgmt.wd1.myworkdayjobs.com/en-US/External/job/London-UK/Associate--Private-Equity-Secondaries_R8024-1,"Models and evaluates secondary PE transactions, runs due diligence, prepares IC papers and supports execution and monitoring.",2-4 years,English,Likely fit,2026-08-12,Open
pe-010,ares,Ares Management,"Analyst, Real Estate Secondaries",London,United Kingdom,https://aresmgmt.wd1.myworkdayjobs.com/en-US/External/job/Analyst--Real-Estate-Secondaries_R7799-1,"Underwriting, modelling and transaction evaluation for private-equity real-estate secondaries.",Not explicit,English,Likely fit,2026-08-12,Open
pe-011,ares,Ares Management,"Associate, Digital Infrastructure Investments",London,United Kingdom,https://aresmgmt.wd1.myworkdayjobs.com/en-US/External/job/Associate--Digital-Infrastructure-Investments_R7226,"Sources and executes data-centre and digital-infrastructure investments using valuation, modelling, research and due diligence.",Not explicit,English,Likely fit,2026-08-12,Open
pe-012,ares,Ares Management,"Associate, Real Estate Asset Management",London,United Kingdom,https://aresmgmt.wd1.myworkdayjobs.com/en-US/External/job/London-UK/Associate--Real-Estate-Asset-Management_R7935-1,"European asset business plans, budgets, IRR forecasts, refinancing, performance analysis and exits.",3-5 years,"English; German/French/Spanish preferred",Likely fit,2026-08-12,Open
pe-013,ares,Ares Management,"Associate, Sports Media and Entertainment",London,United Kingdom,https://aresmgmt.wd1.myworkdayjobs.com/en-US/External/job/Associate---Sports--Media-and-Entertainment_R7438-1,"Investment role covering sports teams, leagues, media rights and related operating companies.",Not explicit,English,Exploration,2026-08-12,Open
