run_at,source_id,company,market,seed_url,pages_checked,candidate_job_pages,verified_jobs,errors,adapter_used,fallback_reason
2026-09-06T09:28:31.969794+00:00,rwe-global,RWE,Multi-region,https://jobs.rwe.com/,37,36,34,,successfactors,
2026-09-06T09:29:05.974508+00:00,eon-global,E.ON,Multi-region,https://careers.eon.com/,1,1,0,"https://careers.eon.com/: RuntimeError: Gemini request failed: ReadTimeout: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Read timed out. (read timeout=60)",llm,
2026-09-06T09:30:30.958978+00:00,enbw-global,EnBW,Multi-region,https://careers.enbw.com/de/de,1,0,0,,phenom,
2026-09-06T09:30:32.293404+00:00,uniper-global,Uniper,Multi-region,https://career5.successfactors.eu/career?company=UniperProd,1,0,0,https://career5.successfactors.eu/sitemap.xml: HTTPError,successfactors,
2026-09-06T09:30:32.990952+00:00,vattenfall-global,Vattenfall,Multi-region,https://careers.smartrecruiters.com/vattenfall,12,11,11,,smartrecruiters,
2026-09-06T09:30:40.515010+00:00,statkraft-global,Statkraft,Multi-region,https://careers.smartrecruiters.com/statkraft1,7,6,6,,smartrecruiters,
2026-09-06T09:30:43.432993+00:00,fortum-global,Fortum,Multi-region,https://jobs.fortum.com/,3,2,2,,successfactors,
2026-09-06T09:30:47.424557+00:00,neste-global,Neste,Multi-region,https://jobs.neste.com/,1,0,0,,successfactors,
2026-09-06T09:30:48.200778+00:00,mol-global,MOL Group,Multi-region,https://molgroup.taleo.net/careersection/external/jobsearch.ftl,1,1,1,,llm,
2026-09-06T09:30:59.680272+00:00,shell-global,Shell,Multi-region,https://shell.wd3.myworkdayjobs.com/ShellCareers,9,3,3,,workday,
2026-09-06T09:31:08.811215+00:00,bp-global,bp,Multi-region,https://bpinternational.wd3.myworkdayjobs.com/bpCareers,0,0,0,Workday listing: HTTPError: 400 Client Error: Bad Request for url: https://bpinternational.wd3.myworkdayjobs.com/wday/cxs/bpinternational/bpCareers/jobs,workday,
2026-09-06T09:31:12.626266+00:00,trafigura-global,Trafigura,Multi-region,https://trafigura.wd3.myworkdayjobs.com/TrafiguraCareerSite,23,15,15,,workday,
2026-09-06T09:31:37.819773+00:00,vitol-global,Vitol,Multi-region,https://careers.smartrecruiters.com/Vitol,4,3,3,,smartrecruiters,
