run_at,source_id,company,market,seed_url,pages_checked,candidate_job_pages,verified_jobs,errors,adapter_used,fallback_reason
2026-09-15T10:07:13.313852+00:00,deutsche-bank-global,Deutsche Bank,Multi-region,https://db.wd3.myworkdayjobs.com/DBWebsite,0,0,0,Workday listing: HTTPError: 400 Client Error: Bad Request for url: https://db.wd3.myworkdayjobs.com/wday/cxs/db/DBWebsite/jobs,workday,
2026-09-15T10:07:16.844010+00:00,commerzbank-global,Commerzbank,Multi-region,https://jobs.commerzbank.com/index.php?ac=search_result,1,1,1,,llm,
2026-09-15T10:07:36.167091+00:00,dz-bank-global,DZ BANK,Multi-region,https://career012.successfactors.eu/career?company=DZBank,1,0,0,https://career012.successfactors.eu/sitemap.xml: HTTPError,successfactors,
2026-09-15T10:07:37.168822+00:00,kfw-global,KfW Group,Multi-region,https://www.kfw.de/About-KfW/Career/,2,2,0,,llm,
2026-09-15T10:08:29.423051+00:00,helaba-global,Helaba,Multi-region,https://www.helaba.com/int/career/,2,2,0,,llm,
2026-09-15T10:08:52.033330+00:00,lbbw-global,LBBW,Multi-region,https://karriere.lbbw.de/,37,0,0,,successfactors,
2026-09-15T10:09:32.033157+00:00,bayernlb-global,BayernLB,Multi-region,https://www.bayernlb.com/internet/en/blb/resp/career/career.jsp,1,1,0,https://www.bayernlb.com/internet/en/blb/resp/career/career.jsp: RuntimeError: Gemini request failed: HTTPError: 429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/interactions,llm,
2026-09-15T10:10:03.743919+00:00,ing-global,ING Group,Multi-region,https://ing.wd3.myworkdayjobs.com/ICSGBLCOR,19,13,13,,workday,
2026-09-15T10:10:19.729862+00:00,unicredit-global,UniCredit,Multi-region,https://careers.unicredit.eu/,1,1,0,https://careers.unicredit.eu/: RuntimeError: Gemini request failed: HTTPError: 429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/interactions,llm,
2026-09-15T10:10:41.075772+00:00,eex-global,EEX Group,Multi-region,https://www.eex-group.com/en/career,1,1,0,https://www.eex-group.com/en/career: RuntimeError: Gemini request failed: HTTPError: 429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/interactions,llm,
