run_at,source_id,company,market,seed_url,pages_checked,candidate_job_pages,verified_jobs,errors
2026-09-19T09:01:16.650206+00:00,partners-group-global,Partners Group,Multi-region,https://jobs.partnersgroup.com/,20,19,19,
2026-09-19T09:01:33.942389+00:00,advent-global,Advent International,Multi-region,https://www.adventinternational.com/careers/,1,0,0,https://www.adventinternational.com/careers/: HTTPError
2026-09-19T09:01:34.609863+00:00,cinven-global,Cinven,Multi-region,https://cinven.pinpointhq.com/,2,0,0,
2026-09-19T09:01:36.498648+00:00,bc-partners-global,BC Partners,Multi-region,https://www.bcpartners.com/careers/,1,0,0,
2026-09-19T09:01:37.971389+00:00,triton-global,Triton Partners,Multi-region,https://tritonpartners.wd3.myworkdayjobs.com/en-GB/External,6,0,0,
2026-09-19T09:01:42.778498+00:00,ardian-global,Ardian,Multi-region,https://ardian.wd103.myworkdayjobs.com/ArdianCareers,7,1,1,
2026-09-19T09:01:47.569371+00:00,tpg-global,TPG,Multi-region,https://job-boards.greenhouse.io/tpgcareers,1,0,0,
2026-09-19T09:01:47.807107+00:00,bain-capital-global,Bain Capital,Multi-region,https://baincapital.wd1.myworkdayjobs.com/External_Public,13,5,5,
2026-09-19T09:01:57.363741+00:00,ares-global,Ares Management,Multi-region,https://aresmgmt.wd1.myworkdayjobs.com/en-US/External,18,11,11,
2026-09-19T09:02:06.151793+00:00,icg-global,Intermediate Capital Group,Multi-region,https://icg.wd3.myworkdayjobs.com/en-US/external_careers,10,4,4,
2026-09-19T09:02:12.236486+00:00,pai-global,PAI Partners,Multi-region,https://www.paipartners.com/careers/,1,0,0,https://www.paipartners.com/careers/: HTTPError
2026-09-19T09:02:12.782396+00:00,waterland-global,Waterland Private Equity,Multi-region,https://www.waterlandpe.com/careers/,30,0,0,
2026-09-19T09:02:54.908669+00:00,nordic-capital-global,Nordic Capital,Multi-region,https://career.nordiccapital.com/jobs,12,0,0,
2026-09-19T09:03:01.762709+00:00,altor-global,Altor,Multi-region,https://careers.altor.com/,1,0,0,
2026-09-19T09:03:03.805516+00:00,axcel-global,Axcel,Multi-region,https://axcel.dk/career/,1,0,0,https://axcel.dk/career/: HTTPError
2026-09-19T09:03:04.989533+00:00,fsn-capital-global,FSN Capital,Multi-region,https://www.fsncapital.com/careers,1,0,0,https://www.fsncapital.com/careers: HTTPError
2026-09-19T09:03:06.456025+00:00,summa-equity-global,Summa Equity,Multi-region,https://summaequity.com/career/,3,0,0,
2026-09-19T09:03:10.561271+00:00,dbag-global,Deutsche Beteiligungs AG,Germany,https://dbag.careers.hibob.com/jobs,1,0,0,
2026-09-19T09:03:11.597307+00:00,mutares-global,Mutares,Multi-region,https://career.mutares.com/jobs,30,25,25,
2026-09-19T09:03:25.474289+00:00,capvis-global,Capvis,Multi-region,https://www.capvis.com/careers/,2,0,0,
2026-09-19T09:03:29.040820+00:00,ufenau-global,Ufenau Capital Partners,Multi-region,https://ufenau-capital-partners.jobs.personio.com/,1,0,0,
2026-09-19T09:03:29.880906+00:00,apollo-global,Apollo Global Management,Multi-region,https://www.apollo.com/careers,1,0,0,
2026-09-19T09:03:30.613879+00:00,kkr-global,KKR,Multi-region,https://www.kkr.com/careers,30,0,0,
2026-09-19T09:03:45.065239+00:00,carlyle-global,Carlyle,Multi-region,https://www.carlyle.com/careers,1,0,0,https://www.carlyle.com/careers: HTTPError
2026-09-19T09:03:45.349326+00:00,blackstone-global,Blackstone,Multi-region,https://www.blackstone.com/careers/,3,0,0,
2026-09-19T09:03:47.458481+00:00,cvc-global,CVC,Multi-region,https://www.cvc.com/careers/,1,0,0,https://www.cvc.com/careers/: HTTPError
2026-09-19T09:03:48.221255+00:00,eqt-global,EQT,Multi-region,https://eqtgroup.com/careers,1,0,0,https://eqtgroup.com/careers: HTTPError
2026-09-19T09:03:48.917437+00:00,permira-global,Permira,Multi-region,https://www.permira.com/careers/,1,0,0,https://www.permira.com/careers/: HTTPError
2026-09-19T09:03:49.415203+00:00,bridgepoint-global,Bridgepoint Group,Multi-region,https://www.bridgepoint.eu/careers,1,0,0,https://www.bridgepoint.eu/careers: HTTPError
2026-09-19T09:03:50.691225+00:00,hg-global,Hg,Multi-region,https://hgcapital.com/careers,1,0,0,https://hgcapital.com/careers: HTTPError
2026-09-19T09:03:50.916720+00:00,brookfield-global,Brookfield Asset Management,Multi-region,https://www.brookfield.com/careers,30,0,0,
2026-09-19T09:04:14.919668+00:00,macquarie-global,Macquarie Group,Multi-region,https://www.macquarie.com/careers.html,22,0,0,
2026-09-19T09:04:26.257175+00:00,antin-global,Antin Infrastructure Partners,Multi-region,https://www.antin-ip.com/careers,1,0,0,
2026-09-19T09:04:29.291262+00:00,eurazeo-global,Eurazeo,Multi-region,https://www.eurazeo.com/en/group/careers,1,0,0,https://www.eurazeo.com/en/group/careers: HTTPError
2026-09-19T09:04:30.334092+00:00,verdane-global,Verdane,Multi-region,https://verdane.com/careers/,1,0,0,https://verdane.com/careers/: HTTPError
2026-09-19T09:04:30.610295+00:00,enterprise-investors-global,Enterprise Investors,Multi-region,https://www.ei.com.pl/en/career/,1,0,0,https://www.ei.com.pl/en/career/: HTTPError
2026-09-19T09:04:31.270824+00:00,mid-europa-global,MidEuropa,Multi-region,https://mideuropa.com/careers/,1,0,0,https://mideuropa.com/careers/: HTTPError
2026-09-19T09:04:31.828026+00:00,innova-capital-global,Innova Capital,Multi-region,https://innovacap.com/career/,1,0,0,https://innovacap.com/career/: HTTPError
2026-09-19T09:04:32.442506+00:00,fidelity-international-global,Fidelity International,Multi-region,https://careers.fidelityinternational.com/,30,0,0,
2026-09-19T09:05:03.280714+00:00,invesco-global,Invesco,Multi-region,https://careers.invesco.com/,30,0,0,https://careers.invesco.com/page/2/: HTTPError | https://careers.invesco.com/category/benefits/: HTTPError | https://careers.invesco.com/author/ccorrado/: HTTPError | https://careers.invesco.com/category/diversity-inclusion/: HTTPError | https://careers.invesco.com/blog/: HTTPError
2026-09-19T09:05:11.633691+00:00,vanguard-global,Vanguard,Multi-region,https://www.vanguardjobs.com/,30,2,2,https://www.vanguardjobs.com/career-blog/tag/advice-from-crew/: HTTPError | https://www.vanguardjobs.com/career-blog/tag/career-growth/: HTTPError | https://www.vanguardjobs.com/career-blog/tag/career-journey/: HTTPError | https://www.vanguardjobs.com/careers-blog/: HTTPError | https://www.vanguardjobs.com/career-blog/tag/client-relationship-associate/: HTTPError
2026-09-19T09:05:21.160110+00:00,mg-global,M&G,Multi-region,https://www.mandg.com/careers,1,0,0,
2026-09-19T09:05:22.467017+00:00,man-group-global,Man Group,Multi-region,https://www.man.com/careers,7,0,0,
2026-09-19T09:05:33.908654+00:00,janus-henderson-global,Janus Henderson,Multi-region,https://www.janushenderson.com/corporate/careers/,7,0,0,
2026-09-19T09:05:40.950917+00:00,baillie-gifford-global,Baillie Gifford,Multi-region,https://www.bailliegifford.com/en/uk/individual-investors/careers/,21,0,0,
2026-09-19T09:06:15.328872+00:00,abrdn-global,abrdn,Multi-region,https://www.abrdn.com/en/corporate/careers,1,0,0,https://www.abrdn.com/en/corporate/careers: HTTPError
