run_at,source_id,company,market,seed_url,pages_checked,candidate_job_pages,verified_jobs,errors,adapter_used,fallback_reason
2026-09-12T09:24:26.640719+00:00,capital-group-global,Capital Group,Multi-region,https://capgroup.wd1.myworkdayjobs.com/capitalgroupcareers,9,2,2,,workday,
2026-09-12T09:24:31.714241+00:00,wellington-management-global,Wellington Management,Multi-region,https://wellington.wd5.myworkdayjobs.com/External,40,30,30,,workday,
2026-09-12T09:24:55.743826+00:00,t-rowe-price-global,T. Rowe Price,Multi-region,https://troweprice.wd5.myworkdayjobs.com/TRowePrice,7,1,1,,workday,
2026-09-12T09:25:01.678747+00:00,pimco-global,PIMCO,Multi-region,https://pimco.wd1.myworkdayjobs.com/pimco-careers,64,53,53,,workday,
2026-09-12T09:25:27.749218+00:00,franklin-templeton-global,Franklin Templeton,Multi-region,https://franklintempleton.wd5.myworkdayjobs.com/Primary-External-1,6,0,0,,workday,
2026-09-12T09:25:32.869803+00:00,robeco-global,Robeco,Multi-region,https://robeco.wd3.myworkdayjobs.com/robecoexternalcareers,6,0,0,,workday,
2026-09-12T09:25:37.745359+00:00,columbia-threadneedle-global,Columbia Threadneedle Investments,Multi-region,https://ameriprise.wd5.myworkdayjobs.com/Ameriprise,0,0,0,Workday listing: HTTPError: 502 Server Error: Bad Gateway for url: https://ameriprise.wd5.myworkdayjobs.com/wday/cxs/ameriprise/Ameriprise/jobs,workday,
2026-09-12T09:25:40.650270+00:00,ninety-one-global,Ninety One,Multi-region,https://externalcareers.ninetyone.com/experienced-hires/,1,1,0,,llm,
2026-09-12T09:25:47.402925+00:00,union-investment-global,Union Investment,Multi-region,https://unternehmen.union-investment.de/startseite-unternehmen/karriere,1,1,0,https://unternehmen.union-investment.de/startseite-unternehmen/karriere: RuntimeError: Gemini request failed: HTTPError: 429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/interactions,llm,
2026-09-12T09:26:12.521937+00:00,flossbach-von-storch-global,Flossbach von Storch,Multi-region,https://flossbach-von-storch-ag.jobs.personio.de,1,0,0,,personio,
2026-09-12T09:26:13.626386+00:00,carmignac-global,Carmignac,Multi-region,https://www.carmignac.com/en/about-us/careers,1,1,0,,llm,
2026-09-12T09:26:33.710710+00:00,jupiter-fund-management-global,Jupiter Fund Management,Multi-region,https://jupiteram.wd3.myworkdayjobs.com/jupiter_careers,12,6,6,,workday,
2026-09-12T09:26:43.181019+00:00,federated-hermes-global,Federated Hermes,Multi-region,https://www.federatedhermes.com/us/careers/,1,1,0,https://www.federatedhermes.com/us/careers/: RuntimeError: Gemini request failed: HTTPError: 429 Client Error: Too Many Requests for url: https://generativelanguage.googleapis.com/v1beta/interactions,llm,
2026-09-12T09:26:59.743028+00:00,neuberger-berman-global,Neuberger Berman,Multi-region,https://nb.wd1.myworkdayjobs.com/NBCareers,8,2,2,,workday,
2026-09-12T09:27:04.436287+00:00,deutsche-boerse-global,Deutsche Börse Group,Multi-region,https://careers.deutsche-boerse.com/,30,14,14,,generic,
2026-09-12T09:27:43.302023+00:00,dws-global,DWS Group,Multi-region,https://www.dws.com/en-us/about-us/careers/,1,0,0,,generic,
2026-09-12T09:27:44.934618+00:00,six-group-global,SIX Group,Multi-region,https://www.six-group.com/en/careers.html,30,0,0,,generic,
2026-09-12T09:28:23.340052+00:00,vontobel-global,Vontobel,Multi-region,https://www.vontobel.com/de-ch/ueber-vontobel/karriere/offene-stellen/,30,27,27,,generic,
2026-09-12T09:29:12.895879+00:00,nbim-global,Norges Bank Investment Management,Multi-region,https://www.nbim.no/en/about-us/career/vacancies/,30,0,0,,generic,
2026-09-12T09:29:31.767020+00:00,blackrock-global,BlackRock,Multi-region,https://careers.blackrock.com/,30,0,0,,generic,
2026-09-12T09:29:52.918741+00:00,schroders-global,Schroders,Multi-region,https://www.schroders.com/en/global/individual/careers/,1,0,0,https://www.schroders.com/en/global/individual/careers/: HTTPError,generic,
