run_at,source_id,company,market,seed_url,pages_checked,candidate_job_pages,verified_jobs,errors,adapter_used,fallback_reason
2026-09-06T09:28:32.193926+00:00,citadel-global,Citadel,Multi-region,https://www.citadel.com/careers/,1,0,0,https://www.citadel.com/careers/: HTTPError,generic,
2026-09-06T09:28:32.460920+00:00,millennium-management-global,Millennium Management,Multi-region,https://www.mlp.com/careers/,4,0,0,,generic,
2026-09-06T09:28:34.718411+00:00,point72-global,Point72,Multi-region,https://careers.point72.com/,1,0,0,,generic,
2026-09-06T09:28:36.007319+00:00,marshall-wace-global,Marshall Wace,Multi-region,https://www.mwam.com/careers/,1,0,0,https://www.mwam.com/careers/: HTTPError,generic,
2026-09-06T09:28:36.789873+00:00,brevan-howard-global,Brevan Howard,Multi-region,https://www.brevanhoward.com/careers/,1,0,0,,generic,
2026-09-06T09:28:38.595824+00:00,qube-rt-global,Qube Research & Technologies,Multi-region,https://www.qube-rt.com/careers/,1,0,0,,generic,
2026-09-06T09:28:39.914131+00:00,winton-global,Winton,Multi-region,https://www.winton.com/careers,1,0,0,https://www.winton.com/careers: HTTPError,generic,
2026-09-06T09:28:40.777968+00:00,aqr-global,AQR Capital Management,Multi-region,https://www.aqr.com/About-Us/Careers,2,0,0,,generic,
2026-09-06T09:28:43.198741+00:00,two-sigma-global,Two Sigma,Multi-region,https://www.twosigma.com/careers/,28,0,0,,generic,
2026-09-06T09:28:57.547801+00:00,de-shaw-global,D. E. Shaw,Multi-region,https://www.deshaw.com/careers,30,25,25,,generic,
2026-09-06T09:29:15.494361+00:00,rsj-global,RSJ,Multi-region,https://www.rsj.com/cz/investments/kariera.html,1,0,0,,generic,
2026-09-06T09:29:16.882903+00:00,conseq-global,Conseq Investment Management,Multi-region,https://www.conseq.cz/kariera,1,0,0,,generic,
2026-09-06T09:29:19.770372+00:00,pale-fire-capital-global,Pale Fire Capital,Multi-region,https://palefirecapital.com/,1,0,0,,generic,
